bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
46357;Spirochaeta;Spirochaeta asiatica;Spirochaeta asiatica;;obligate anaerobic;
147;Spirochaeta;Spirochaeta aurantia;Spirochaeta aurantia;;aerobic;
148;Sediminispirochaeta;Sediminispirochaeta bajacaliforniensis;Sediminispirochaeta bajacaliforniensis;;obligate anaerobic;
215591;Treponema;Treponema caldarium;Treponema caldarium;;obligate anaerobic;
504483;Spirochaeta;Spirochaeta cellobiosiphila;Spirochaeta cellobiosiphila;;facultative;
273376;Sphaerochaeta;Sphaerochaeta coccoides;Sphaerochaeta coccoides;;anaerobic;
149;Spirochaeta;Spirochaeta halophila;Spirochaeta halophila;;facultative;
150;Spirochaeta;Spirochaeta isovalerica;Spirochaeta isovalerica;;anaerobic;
151;Oceanispirochaeta;Oceanispirochaeta litoralis;Oceanispirochaeta litoralis;;anaerobic;
1653855;Spirochaeta;Spirochaeta plicatilis;Spirochaeta plicatilis;;microaerophilic;
55206;Sediminispirochaeta;Sediminispirochaeta smaragdinae;Sediminispirochaeta smaragdinae;;obligate anaerobic;
152;Treponema;Treponema stenostreptum;Treponema stenostreptum;;obligate anaerobic;
154;Spirochaeta;Spirochaeta thermophila;Spirochaeta thermophila;;obligate anaerobic;
156;Treponema;Treponema zuelzerae;Treponema zuelzerae;;obligate anaerobic;
216931;Spiroplasma;Spiroplasma alleghenense;Spiroplasma alleghenense;;;
2137;Spiroplasma;Spiroplasma apis;Spiroplasma apis;;;
216932;Spiroplasma;Spiroplasma chinense;Spiroplasma chinense;;;
216933;Spiroplasma;Spiroplasma chrysopicola;Spiroplasma chrysopicola;;;
2133;Spiroplasma;Spiroplasma citri;Spiroplasma citri;;;
216935;Spiroplasma;Spiroplasma culicicola;Spiroplasma culicicola;;;
2142;Spiroplasma;Spiroplasma diabroticae;Spiroplasma diabroticae;;;
216936;Spiroplasma;Spiroplasma diminutum;Spiroplasma diminutum;;;
