bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
291968;Acaricomes;Acaricomes phytoseiuli;Acaricomes phytoseiuli;;;
35830;Acetivibrio;Acetivibrio cellulolyticus;Acetivibrio cellulolyticus;;obligate anaerobic;
290052;Acetivibrio;Acetivibrio ethanolgignens;Acetivibrio ethanolgignens;;obligate anaerobic;
937251;Youngiibacter;Youngiibacter multivorans;Youngiibacter multivorans;;obligate anaerobic;
745369;Acetoanaerobium;Acetoanaerobium noterae;Acetoanaerobium noterae;;;
104101;Acetobacter;Acetobacter indonesiensis;Acetobacter indonesiensis;;;
146474;Acetobacter;Acetobacter orientalis;Acetobacter orientalis;;;
65959;Acetobacter;Acetobacter pomorum;Acetobacter pomorum;;;
104102;Acetobacter;Acetobacter tropicalis;Acetobacter tropicalis;;;
52689;Acetobacterium;Acetobacterium bakii;Acetobacterium bakii;;;
52690;Acetobacterium;Acetobacterium carbinolicum;Acetobacterium carbinolicum;;;
82116;Acetobacterium;Acetobacterium dehalogenans;Acetobacterium dehalogenans;;obligate anaerobic;
52691;Acetobacterium;Acetobacterium fimetarium;Acetobacterium fimetarium;;;22
52693;Acetobacterium;Acetobacterium paludosum;Acetobacterium paludosum;;;
93718;Acetobacterium;Acetobacterium psammolithicum;Acetobacterium psammolithicum;;obligate anaerobic;
132932;Acetobacterium;Acetobacterium tundrae;Acetobacterium tundrae;;;
52694;Acetobacterium;Acetobacterium wieringae;Acetobacterium wieringae;;;10
33952;Acetobacterium;Acetobacterium woodii;Acetobacterium woodii;;;
28187;Acetohalobium;Acetohalobium arabaticum;Acetohalobium arabaticum;;obligate anaerobic;
2374;Acetonema;Acetonema longum;Acetonema longum;;obligate anaerobic;
264633;Acholeplasma;Acholeplasma cavigenitalium;Acholeplasma cavigenitalium;;aerobic;
264639;Acholeplasma;Acholeplasma parvum;Acholeplasma parvum;;aerobic;
228419;Acholeplasma;Acholeplasma pleciae;Acholeplasma pleciae;;facultative;
69473;Acholeplasma;Acholeplasma vituli;Acholeplasma vituli;;aerobic;
72556;Achromobacter;Achromobacter piechaudii;Achromobacter piechaudii;;obligate aerobic;
72557;Achromobacter;Achromobacter ruhlandii;Achromobacter ruhlandii;;aerobic;
32002;Achromobacter;Achromobacter denitrificans;Achromobacter denitrificans;;anaerobic;
85698;Achromobacter;Achromobacter xylosoxidans;Achromobacter xylosoxidans;;aerobic;
65403;Acidaminobacter;Acidaminobacter hydrogenoformans;Acidaminobacter hydrogenoformans;;;
2283;Acidianus;Acidianus ambivalens;Acidianus ambivalens;;;4
41673;Acidianus;Acidianus brierleyi;Acidianus brierleyi;;aerobic;
12915;Acidianus;Acidianus infernus;Acidianus infernus;;aerobic;2.5
76588;Acidiphilium;Acidiphilium acidophilum;Acidiphilium acidophilum;;obligate aerobic;
524;Acidiphilium;Acidiphilium cryptum;Acidiphilium cryptum;;aerobic;
62140;Acidiphilium;Acidiphilium multivorum;Acidiphilium multivorum;;obligate aerobic;
33999;Acidiphilium;Acidiphilium organovorum;Acidiphilium organovorum;;obligate aerobic;
526;Acidiphilium;Acidiphilium rubrum;Acidiphilium rubrum;;obligate aerobic;
50715;Acidisphaera;Acidisphaera rubrifaciens;Acidisphaera rubrifaciens;;;
119978;Acidithiobacillus;Acidithiobacillus albertensis;Acidithiobacillus albertensis;;aerobic;
33059;Acidithiobacillus;Acidithiobacillus caldus;Acidithiobacillus caldus;;;
920;Acidithiobacillus;Acidithiobacillus ferrooxidans;Acidithiobacillus ferrooxidans;;obligate aerobic;
930;Acidithiobacillus;Acidithiobacillus thiooxidans;Acidithiobacillus thiooxidans;;obligate aerobic;
437;Acidomonas;Acidomonas methanolica;Acidomonas methanolica;;;
40216;Acinetobacter;Acinetobacter radioresistens;Acinetobacter radioresistens;;;
52133;Acinetobacter;Acinetobacter venetianus;Acinetobacter venetianus;;aerobic;
714;Aggregatibacter;Aggregatibacter actinomycetemcomitans;Aggregatibacter actinomycetemcomitans;;anaerobic;
157339;Actinobacillus;Actinobacillus arthritidis;Actinobacillus arthritidis;;aerobic;
51161;Actinobacillus;Actinobacillus delphinicola;Actinobacillus delphinicola;;facultative;
719;Actinobacillus;Actinobacillus hominis;Actinobacillus hominis;;facultative;
51049;Actinobacillus;Actinobacillus indolicus;Actinobacillus indolicus;;;
720;Actinobacillus;Actinobacillus lignieresii;Actinobacillus lignieresii;;;
51047;Actinobacillus;Actinobacillus minor;Actinobacillus minor;;;
715;Actinobacillus;Actinobacillus pleuropneumoniae;Actinobacillus pleuropneumoniae;;aerobic;
51048;Actinobacillus;Actinobacillus porcinus;Actinobacillus porcinus;;;
123820;Actinobacillus;Actinobacillus rossii;Actinobacillus rossii;yes;aerobic;
721;Actinobacillus;Actinobacillus salpingitidis;Actinobacillus salpingitidis;;facultative;
182182;Actinobacillus;Actinobacillus scotiae;Actinobacillus scotiae;;facultative;
722;Actinobacillus;Actinobacillus seminis;Actinobacillus seminis;;aerobic;
67854;Actinobacillus;Actinobacillus succinogenes;Actinobacillus succinogenes;;aerobic;
202789;Actinobaculum;Actinobaculum massiliense;Actinobaculum massiliense;;facultative;
59505;Actinotignum;Actinotignum schaalii;Actinotignum schaalii;;facultative;
190146;Actinotignum;Actinotignum urinale;Actinotignum urinale;;anaerobic;
46161;Actinomadura;Actinomadura kijaniata;Actinomadura kijaniata;;anaerobic;
111807;Actinomadura;Actinomadura yumaensis;Actinomadura yumaensis;;;
131109;Actinomyces;Actinomyces bowdenii;Actinomyces bowdenii;;aerobic;
100469;Actinomyces;Actinomyces canis;Actinomyces canis;;aerobic;
181487;Actinomyces;Actinomyces cardiffensis;Actinomyces cardiffensis;;anaerobic;
272548;Actinomyces;Actinomyces dentalis;Actinomyces dentalis;;anaerobic;
52767;Actinomyces;Actinomyces denticolens;Actinomyces denticolens;;anaerobic;
66228;Actinomyces;Actinomyces europaeus;Actinomyces europaeus;;;
52768;Actinomyces;Actinomyces georgiae;Actinomyces georgiae;;anaerobic;
52769;Actinomyces;Actinomyces gerencseriae;Actinomyces gerencseriae;;obligate anaerobic;
595468;Actinomyces;Actinomyces hominis;Actinomyces hominis;;aerobic;
178339;Actinomyces;Actinomyces hongkongensis;Actinomyces hongkongensis;;anaerobic;
52770;Actinomyces;Actinomyces hordeovulneris;Actinomyces hordeovulneris;;aerobic;
52771;Actinomyces;Actinomyces howellii;Actinomyces howellii;;anaerobic;
29316;Actinomyces;Actinomyces hyovaginalis;Actinomyces hyovaginalis;;anaerobic;
461393;Actinomyces;Actinomyces massiliensis;Actinomyces massiliensis;;anaerobic;
52773;Actinomyces;Actinomyces meyeri;Actinomyces meyeri;;anaerobic;
208480;Actinomyces;Actinomyces nasicola;Actinomyces nasicola;;anaerobic;
33007;Actinomyces;Actinomyces neuii;Actinomyces neuii;;anaerobic;
1660;Actinomyces;Actinomyces odontolyticus;Actinomyces odontolyticus;;anaerobic;
206043;Actinomyces;Actinomyces oricola;Actinomyces oricola;;anaerobic;
131110;Actinomyces;Actinomyces radingae;Actinomyces radingae;;anaerobic;
332524;Actinomyces;Actinomyces ruminicola;Actinomyces ruminicola;;obligate anaerobic;
52774;Actinomyces;Actinomyces slackii;Actinomyces slackii;;;
1657;Actinobaculum;Actinobaculum suis;Actinobaculum suis;;anaerobic;
1288391;Actinomyces;Actinomyces timonensis;Actinomyces timonensis;;anaerobic;
131111;Actinomyces;Actinomyces turicensis;Actinomyces turicensis;;anaerobic;
183916;Actinomyces;Actinomyces vaccimaxillae;Actinomyces vaccimaxillae;;anaerobic;
1656;Actinomyces;Actinomyces viscosus;Actinomyces viscosus;;;
47988;Actinoplanes;Actinoplanes auranticolor;Actinoplanes auranticolor;;;
52695;Actinoplanes;Actinoplanes brasiliensis;Actinoplanes brasiliensis;;;
113561;Actinoplanes;Actinoplanes deccanensis;Actinoplanes deccanensis;;;
1868;Actinoplanes;Actinoplanes digitatis;Actinoplanes digitatis;;;
113568;Actinoplanes;Actinoplanes lobatus;Actinoplanes lobatus;;;
1866;Actinoplanes;Actinoplanes missouriensis;Actinoplanes missouriensis;;;
35752;Actinoplanes;Actinoplanes philippinensis;Actinoplanes philippinensis;;;
52697;Actinoplanes;Actinoplanes regularis;Actinoplanes regularis;;;
1867;Actinoplanes;Actinoplanes teichomyceticus;Actinoplanes teichomyceticus;;;
1850;Actinopolyspora;Actinopolyspora halophila;Actinopolyspora halophila;;;
52698;Actinopolyspora;Actinopolyspora iraqiensis;Actinopolyspora iraqiensis;yes;;
33906;Actinopolyspora;Actinopolyspora mortivallis;Actinopolyspora mortivallis;;;
43671;Actinotalea;Actinotalea fermentans;Actinotalea fermentans;;aerobic;
203862;Aegyptianella;Aegyptianella pullorum;Aegyptianella pullorum;;;
218139;Aeriscardovia;Aeriscardovia aeriphila;Aeriscardovia aeriphila;;facultative;
302168;Aeromicrobium;Aeromicrobium alkaliterrae;Aeromicrobium alkaliterrae;;anaerobic;
2041;Aeromicrobium;Aeromicrobium erythreum;Aeromicrobium erythreum;;;
52699;Aeromicrobium;Aeromicrobium fastidiosum;Aeromicrobium fastidiosum;;;
416568;Aeromicrobium;Aeromicrobium flavum;Aeromicrobium flavum;;;
363867;Aeromicrobium;Aeromicrobium ginsengisoli;Aeromicrobium ginsengisoli;;;
560557;Aeromicrobium;Aeromicrobium halocynthiae;Aeromicrobium halocynthiae;;;
219314;Aeromicrobium;Aeromicrobium marinum;Aeromicrobium marinum;;;
363861;Aeromicrobium;Aeromicrobium panaciterrae;Aeromicrobium panaciterrae;;;
460257;Aeromicrobium;Aeromicrobium ponti;Aeromicrobium ponti;;;
375541;Aeromicrobium;Aeromicrobium tamlense;Aeromicrobium tamlense;;;
649;Aeromonas;Aeromonas eucrenophila;Aeromonas eucrenophila;;facultative;
645;Aeromonas;Aeromonas salmonicida;Aeromonas salmonicida;;;
396389;Aestuariimicrobium;Aestuariimicrobium kwangyangense;Aestuariimicrobium kwangyangense;;anaerobic;
110935;Agreia;Agreia bicolorata;Agreia bicolorata;;;
150121;Agreia;Agreia pratensis;Agreia pratensis;;obligate aerobic;
153730;Agrococcus;Agrococcus baldri;Agrococcus baldri;;aerobic;
343512;Agrococcus;Agrococcus casei;Agrococcus casei;;aerobic;
84643;Agrococcus;Agrococcus citreus;Agrococcus citreus;;aerobic;
399736;Agrococcus;Agrococcus jejuensis;Agrococcus jejuensis;;aerobic;
46353;Agrococcus;Agrococcus jenensis;Agrococcus jenensis;;;
501482;Agrococcus;Agrococcus versicolor;Agrococcus versicolor;;obligate aerobic;
205332;Agromyces;Agromyces albus;Agromyces albus;;aerobic;
393607;Agromyces;Agromyces allii;Agromyces allii;;anaerobic;
766966;Agromyces;Agromyces arachidis;Agromyces arachidis;;obligate aerobic;
592376;Agromyces;Agromyces atrinae;Agromyces atrinae;;aerobic;
165814;Agromyces;Agromyces aurantiacus;Agromyces aurantiacus;;aerobic;
1308924;Agromyces;Agromyces bauzanensis;Agromyces bauzanensis;;aerobic;
88376;Agromyces;Agromyces bracchium;Agromyces bracchium;;aerobic;
33878;Agromyces;Agromyces cerinus;Agromyces cerinus;;;
41985;Agromyces;Agromyces fucosus;Agromyces fucosus;;;
286438;Agromyces;Agromyces hippuratus;Agromyces hippuratus;;;
279573;Agromyces;Agromyces humatus;Agromyces humatus;;aerobic;
717856;Agromyces;Agromyces iriomotensis;Agromyces iriomotensis;;microaerophilic;
279572;Agromyces;Agromyces italicus;Agromyces italicus;;aerobic;
279574;Agromyces;Agromyces lapidis;Agromyces lapidis;;aerobic;
88373;Agromyces;Agromyces luteolus;Agromyces luteolus;;;
1389020;Agromyces;Agromyces marinus;Agromyces marinus;;microaerophilic;
41986;Agromyces;Agromyces mediolanus;Agromyces mediolanus;;aerobic;
269420;Agromyces;Agromyces neolithicus;Agromyces neolithicus;;aerobic;
33879;Agromyces;Agromyces ramosus;Agromyces ramosus;;microaerophilic;
88374;Agromyces;Agromyces rhizospherae;Agromyces rhizospherae;;aerobic;
269421;Agromyces;Agromyces salentinus;Agromyces salentinus;;aerobic;
659012;Agromyces;Agromyces soli;Agromyces soli;;;
293890;Agromyces;Agromyces subbeticus;Agromyces subbeticus;;aerobic;
717859;Agromyces;Agromyces subtropicus;Agromyces subtropicus;;microaerophilic;
424795;Agromyces;Agromyces terreus;Agromyces terreus;;anaerobic;
248902;Agromyces;Agromyces ulmi;Agromyces ulmi;;aerobic;
239935;Akkermansia;Akkermansia muciniphila;Akkermansia muciniphila;;obligate anaerobic;
75697;Castellaniella;Castellaniella defragrans;Castellaniella defragrans;;facultative;
511;Alcaligenes;Alcaligenes faecalis;Alcaligenes faecalis;;aerobic;
45677;Azohydromonas;Azohydromonas lata;Azohydromonas lata;;;
59754;Alcanivorax;Alcanivorax borkumensis;Alcanivorax borkumensis;;anaerobic;
64988;Alcanivorax;Alcanivorax jadensis;Alcanivorax jadensis;;aerobic;
221126;Algibacter;Algibacter lectus;Algibacter lectus;;;
279824;Algoriphagus;Algoriphagus alkaliphilus;Algoriphagus alkaliphilus;;;
238540;Algoriphagus;Algoriphagus antarcticus;Algoriphagus antarcticus;;;
237018;Algoriphagus;Algoriphagus aquimarinus;Algoriphagus aquimarinus;;;
308111;Algoriphagus;Algoriphagus boritolerans;Algoriphagus boritolerans;;;
237019;Algoriphagus;Algoriphagus chordae;Algoriphagus chordae;;;
226505;Algoriphagus;Algoriphagus halophilus;Algoriphagus halophilus;;;
305507;Algoriphagus;Algoriphagus locisalis;Algoriphagus locisalis;;;
226504;Algoriphagus;Algoriphagus mannitolivorans;Algoriphagus mannitolivorans;;;
264027;Algoriphagus;Algoriphagus marincola;Algoriphagus marincola;;;
226506;Algoriphagus;Algoriphagus ornithinivorans;Algoriphagus ornithinivorans;;;
57028;Algoriphagus;Algoriphagus ratkowskyi;Algoriphagus ratkowskyi;;;
344884;Algoriphagus;Algoriphagus terrigena;Algoriphagus terrigena;;;
426371;Algoriphagus;Algoriphagus vanfongensis;Algoriphagus vanfongensis;;;
237017;Algoriphagus;Algoriphagus winogradskyi;Algoriphagus winogradskyi;;;
291403;Algoriphagus;Algoriphagus yeomjeoni;Algoriphagus yeomjeoni;;;
182455;Alicyclobacillus;Alicyclobacillus acidiphilus;Alicyclobacillus acidiphilus;;aerobic;
405212;Alicyclobacillus;Alicyclobacillus acidocaldarius;Alicyclobacillus acidocaldarius;;aerobic;
1450;Alicyclobacillus;Alicyclobacillus acidoterrestris;Alicyclobacillus acidoterrestris;;aerobic;
392016;Alicyclobacillus;Alicyclobacillus contaminans;Alicyclobacillus contaminans;;obligate aerobic;
1457;Alicyclobacillus;Alicyclobacillus cycloheptanicus;Alicyclobacillus cycloheptanicus;;aerobic;
42808;Alicyclobacillus;Alicyclobacillus disulfidooxidans;Alicyclobacillus disulfidooxidans;;aerobic;
392011;Alicyclobacillus;Alicyclobacillus fastidiosus;Alicyclobacillus fastidiosus;;obligate aerobic;
122960;Alicyclobacillus;Alicyclobacillus herbarius;Alicyclobacillus herbarius;;aerobic;
89784;Alicyclobacillus;Alicyclobacillus hesperidum;Alicyclobacillus hesperidum;;aerobic;
392012;Alicyclobacillus;Alicyclobacillus kakegawensis;Alicyclobacillus kakegawensis;;obligate aerobic;
392015;Alicyclobacillus;Alicyclobacillus macrosporangiidus;Alicyclobacillus macrosporangiidus;;obligate aerobic;
204470;Alicyclobacillus;Alicyclobacillus pomorum;Alicyclobacillus pomorum;;obligate aerobic;
392010;Alicyclobacillus;Alicyclobacillus sacchari;Alicyclobacillus sacchari;;obligate aerobic;
192387;Alicyclobacillus;Alicyclobacillus sendaiensis;Alicyclobacillus sendaiensis;;aerobic;
392014;Alicyclobacillus;Alicyclobacillus shizuokensis;Alicyclobacillus shizuokensis;;obligate aerobic;
90970;Alicyclobacillus;Alicyclobacillus tolerans;Alicyclobacillus tolerans;;;
252246;Alicyclobacillus;Alicyclobacillus vulcanalis;Alicyclobacillus vulcanalis;;aerobic;
111143;Alishewanella;Alishewanella fetalis;Alishewanella fetalis;;;
214856;Alistipes;Alistipes finegoldii;Alistipes finegoldii;;anaerobic;
328813;Alistipes;Alistipes onderdonkii;Alistipes onderdonkii;;anaerobic;
328814;Alistipes;Alistipes shahii;Alistipes shahii;;anaerobic;
200990;Alkalibacillus;Alkalibacillus filiformis;Alkalibacillus filiformis;;;
94136;Alkalibacillus;Alkalibacillus haloalkaliphilus;Alkalibacillus haloalkaliphilus;;;
284582;Alkalibacillus;Alkalibacillus salilacus;Alkalibacillus salilacus;;;
392823;Alkalibacillus;Alkalibacillus silvisoli;Alkalibacillus silvisoli;;obligate aerobic;
235931;Alkalibacter;Alkalibacter saccharofermentans;Alkalibacter saccharofermentans;;anaerobic;
290589;Alkalibacterium;Alkalibacterium iburiense;Alkalibacterium iburiense;;aerobic;
398758;Alkalibacterium;Alkalibacterium indicireducens;Alkalibacterium indicireducens;;aerobic;
99907;Alkalibacterium;Alkalibacterium olivapovliticus;Alkalibacterium olivapovliticus;;;
254784;Alkalibacterium;Alkalibacterium psychrotolerans;Alkalibacterium psychrotolerans;;aerobic;
286730;Alkaliflexus;Alkaliflexus imshenetskii;Alkaliflexus imshenetskii;;obligate anaerobic;
185693;Alkaliphilus;Alkaliphilus crotonatoxidans;Alkaliphilus crotonatoxidans;;obligate anaerobic;
208226;Alkaliphilus;Alkaliphilus metalliredigens;Alkaliphilus metalliredigens;;obligate anaerobic;
114628;Alkaliphilus;Alkaliphilus transvaalensis;Alkaliphilus transvaalensis;;obligate anaerobic;
209880;Allisonella;Allisonella histaminiformans;Allisonella histaminiformans;;anaerobic;1.833333333
174709;Allobaculum;Allobaculum stercoricanis;Allobaculum stercoricanis;;;
61596;Allochromatium;Allochromatium minutissimum;Allochromatium minutissimum;;;
1049;Allochromatium;Allochromatium vinosum;Allochromatium vinosum;;;
61595;Allochromatium;Allochromatium warmingii;Allochromatium warmingii;;obligate anaerobic;
166939;Allofustis;Allofustis seminis;Allofustis seminis;;facultative;
419015;Alloscardovia;Alloscardovia omnicolens;Alloscardovia omnicolens;;anaerobic;
748908;Alpinimonas;Alpinimonas psychrophila;Alpinimonas psychrophila;;aerobic;
78554;Alterococcus;Alterococcus agarolyticus;Alterococcus agarolyticus;;aerobic;
28108;Alteromonas;Alteromonas macleodii;Alteromonas macleodii;;obligate aerobic;
194196;Alysiella;Alysiella filiformis;Alysiella filiformis;;aerobic;
57000;Amaricoccus;Amaricoccus kaplicensis;Amaricoccus kaplicensis;;;
57001;Amaricoccus;Amaricoccus macauensis;Amaricoccus macauensis;;anaerobic;
57002;Amaricoccus;Amaricoccus tamworthensis;Amaricoccus tamworthensis;;;
57003;Amaricoccus;Amaricoccus veronensis;Amaricoccus veronensis;;;
81468;Aminobacterium;Aminobacterium colombiense;Aminobacterium colombiense;;anaerobic;
81467;Aminobacterium;Aminobacterium mobile;Aminobacterium mobile;;anaerobic;
81412;Aminomonas;Aminomonas paucivorans;Aminomonas paucivorans;;anaerobic;
66863;Ammoniphilus;Ammoniphilus oxalaticus;Ammoniphilus oxalaticus;;;
66864;Ammoniphilus;Ammoniphilus oxalivorans;Ammoniphilus oxalivorans;;;
173041;Pelagirhabdus;Pelagirhabdus fermentum;Pelagirhabdus fermentum;;anaerobic;
173040;Amphibacillus;Amphibacillus tropicus;Amphibacillus tropicus;;anaerobic;
1449;Amphibacillus;Amphibacillus xylanus;Amphibacillus xylanus;;aerobic;
196083;Amycolatopsis;Amycolatopsis eurytherma;Amycolatopsis eurytherma;;;
112413;Amycolatopsis;Amycolatopsis rubida;Amycolatopsis rubida;;;
394193;Amycolatopsis;Amycolatopsis saalfeldensis;Amycolatopsis saalfeldensis;;;
84480;Amycolatopsis;Amycolatopsis thermoflava;Amycolatopsis thermoflava;;;
82376;Anaeroarcus;Anaeroarcus burkinensis;Anaeroarcus burkinensis;;obligate anaerobic;
97477;Acetomicrobium;Acetomicrobium mobile;Acetomicrobium mobile;;obligate anaerobic;
1120986;Acetomicrobium;Acetomicrobium thermoterrenum;Acetomicrobium thermoterrenum;;obligate anaerobic;
13335;Anaerobiospirillum;Anaerobiospirillum succiniciproducens;Anaerobiospirillum succiniciproducens;;;
179995;Anaerobiospirillum;Anaerobiospirillum thomasii;Anaerobiospirillum thomasii;;;
182411;Anaerobranca;Anaerobranca californiensis;Anaerobranca californiensis;;anaerobic;0.666666667
108328;Anaerobranca;Anaerobranca gottschalkii;Anaerobranca gottschalkii;;anaerobic;
42448;Anaerobranca;Anaerobranca horikoshii;Anaerobranca horikoshii;;obligate anaerobic;0.6
33029;Anaerococcus;Anaerococcus hydrogenalis;Anaerococcus hydrogenalis;;;
33034;Anaerococcus;Anaerococcus prevotii;Anaerococcus prevotii;;anaerobic;
33036;Anaerococcus;Anaerococcus tetradius;Anaerococcus tetradius;;;
33037;Anaerococcus;Anaerococcus vaginalis;Anaerococcus vaginalis;;;
52786;Anaerofilum;Anaerofilum agile;Anaerofilum agile;;;
52787;Anaerofilum;Anaerofilum pentosovorans;Anaerofilum pentosovorans;;;
214853;Anaerofustis;Anaerofustis stercorihominis;Anaerofustis stercorihominis;;anaerobic;
81464;Anaeromusa;Anaeromusa acidaminophila;Anaeromusa acidaminophila;;;
177400;Anaerophaga;Anaerophaga thermohalophila;Anaerophaga thermohalophila;;obligate anaerobic;
2087;Anaeroplasma;Anaeroplasma abactoclasticum;Anaeroplasma abactoclasticum;;;
118967;Anaerorhabdus;Anaerorhabdus furcosa;Anaerorhabdus furcosa;;;
82375;Anaerosinus;Anaerosinus glycerini;Anaerosinus glycerini;;;
105841;Anaerostipes;Anaerostipes caccae;Anaerostipes caccae;;obligate anaerobic;
1653826;Ancalochloris;Ancalochloris perfilievii;Ancalochloris perfilievii;;;
1391;Aneurinibacillus;Aneurinibacillus aneurinilyticus;Aneurinibacillus aneurinilyticus;;;
267746;Aneurinibacillus;Aneurinibacillus danicus;Aneurinibacillus danicus;;obligate aerobic;
47500;Aneurinibacillus;Aneurinibacillus migulanus;Aneurinibacillus migulanus;;;
278991;Aneurinibacillus;Aneurinibacillus terranovensis;Aneurinibacillus terranovensis;;microaerophilic;
143495;Aneurinibacillus;Aneurinibacillus thermoaerophilus;Aneurinibacillus thermoaerophilus;;aerobic;
217068;Angulomicrobium;Angulomicrobium tetraedrale;Angulomicrobium tetraedrale;;aerobic;
294699;Anoxybacillus;Anoxybacillus amylolyticus;Anoxybacillus amylolyticus;;facultative;
225988;Anoxybacillus;Anoxybacillus contaminans;Anoxybacillus contaminans;;facultative;
33934;Anoxybacillus;Anoxybacillus flavithermus;Anoxybacillus flavithermus;;facultative;
198467;Anoxybacillus;Anoxybacillus gonensis;Anoxybacillus gonensis;;facultative;
196180;Anoxybacillus;Anoxybacillus kamchatkensis;Anoxybacillus kamchatkensis;;aerobic;
227476;Anoxybacillus;Anoxybacillus kestanbolensis;Anoxybacillus kestanbolensis;;facultative;
150248;Anoxybacillus;Anoxybacillus pushchinoensis;Anoxybacillus pushchinoensis;;anaerobic;
311460;Anoxybacillus;Anoxybacillus rupiensis;Anoxybacillus rupiensis;;obligate aerobic;
230470;Anoxybacillus;Anoxybacillus voinovskiensis;Anoxybacillus voinovskiensis;;facultative;
74033;Antarctobacter;Antarctobacter heliothermus;Antarctobacter heliothermus;;;
933073;Aquabacter;Aquabacter spiritensis;Aquabacter spiritensis;;obligate aerobic;
69279;Aquamicrobium;Aquamicrobium defluvii;Aquamicrobium defluvii;;;
682713;Aquaspirillum;Aquaspirillum denitrificans;Aquaspirillum denitrificans;;facultative;
80880;Hylemonella;Hylemonella gracilis;Hylemonella gracilis;;microaerophilic;
80877;Aquaspirillum;Aquaspirillum polymorphum;Aquaspirillum polymorphum;;anaerobic;
190;Aquaspirillum;Aquaspirillum serpens;Aquaspirillum serpens;;;
63363;Aquifex;Aquifex aeolicus;Aquifex aeolicus;;anaerobic;
280473;Aquiflexum;Aquiflexum balticum;Aquiflexum balticum;;;
323412;Aquimarina;Aquimarina brevivitae;Aquimarina brevivitae;;;
350814;Aquimarina;Aquimarina intermedia;Aquimarina intermedia;;;
987;Aquimarina;Aquimarina latercula;Aquimarina latercula;;;
279356;Aquimarina;Aquimarina muelleri;Aquimarina muelleri;;;
445930;Trueperella;Trueperella abortisuis;Trueperella abortisuis;;obligate anaerobic;
59561;Trueperella;Trueperella bernardiae;Trueperella bernardiae;;facultative;
312285;Trueperella;Trueperella bialowiezensis;Trueperella bialowiezensis;;aerobic;
312286;Trueperella;Trueperella bonasi;Trueperella bonasi;;aerobic;
28264;Arcanobacterium;Arcanobacterium haemolyticum;Arcanobacterium haemolyticum;;facultative;
149017;Arcanobacterium;Arcanobacterium hippocoleae;Arcanobacterium hippocoleae;;facultative;
131112;Arcanobacterium;Arcanobacterium phocae;Arcanobacterium phocae;;facultative;
108028;Arcanobacterium;Arcanobacterium pluranimalium;Arcanobacterium pluranimalium;;facultative;
1661;Trueperella;Trueperella pyogenes;Trueperella pyogenes;;aerobic;
138903;Archaeoglobus;Archaeoglobus lithotrophicus;Archaeoglobus lithotrophicus;;obligate anaerobic;
84156;Archaeoglobus;Archaeoglobus profundus;Archaeoglobus profundus;;obligate anaerobic;
58290;Archaeoglobus;Archaeoglobus veneficus;Archaeoglobus veneficus;;obligate anaerobic;1
48;Archangium;Archangium gephyra;Archangium gephyra;;;
28197;Arcobacter;Arcobacter butzleri;Arcobacter butzleri;;;
28198;Arcobacter;Arcobacter cryaerophilus;Arcobacter cryaerophilus;;aerobic;
28199;Arcobacter;Arcobacter nitrofigilis;Arcobacter nitrofigilis;;aerobic;
28200;Arcobacter;Arcobacter skirrowii;Arcobacter skirrowii;;microaerophilic;
86104;Arenibacter;Arenibacter latericius;Arenibacter latericius;;;
237373;Arenibacter;Arenibacter palladensis;Arenibacter palladensis;;;
188872;Arenibacter;Arenibacter troitsensis;Arenibacter troitsensis;;;
2369;Arhodomonas;Arhodomonas aquaeolei;Arhodomonas aquaeolei;;aerobic;
37921;Arthrobacter;Arthrobacter agilis;Arthrobacter agilis;;aerobic;
98671;Pseudoglutamicibacter;Pseudoglutamicibacter albus;Pseudoglutamicibacter albus;;obligate aerobic;
656366;Arthrobacter;Arthrobacter alpinus;Arthrobacter alpinus;;aerobic;
494023;Paeniglutamicibacter;Paeniglutamicibacter antarcticus;Paeniglutamicibacter antarcticus;;aerobic;
225894;Glutamicibacter;Glutamicibacter ardleyensis;Glutamicibacter ardleyensis;;aerobic;
256701;Glutamicibacter;Glutamicibacter arilaitensis;Glutamicibacter arilaitensis;;aerobic;
256702;Glutamicibacter;Glutamicibacter bergerei;Glutamicibacter bergerei;;aerobic;
271431;Arthrobacter;Arthrobacter castelli;Arthrobacter castelli;;anaerobic;
85085;Pseudarthrobacter;Pseudarthrobacter chlorophenolicus;Pseudarthrobacter chlorophenolicus;;obligate aerobic;
162496;Glutamicibacter;Glutamicibacter creatinolyticus;Glutamicibacter creatinolyticus;;aerobic;
156979;Pseudoglutamicibacter;Pseudoglutamicibacter cumminsii;Pseudoglutamicibacter cumminsii;;obligate aerobic;
410837;Pseudarthrobacter;Pseudarthrobacter defluvii;Pseudarthrobacter defluvii;;aerobic;
95172;Arthrobacter;Arthrobacter flavus;Arthrobacter flavus;;aerobic;
169960;Arthrobacter;Arthrobacter gandavensis;Arthrobacter gandavensis;;obligate aerobic;
254787;Paeniglutamicibacter;Paeniglutamicibacter gangotriensis;Paeniglutamicibacter gangotriensis;;aerobic;
1665;Arthrobacter;Arthrobacter globiformis;Arthrobacter globiformis;;anaerobic;
409291;Arthrobacter;Arthrobacter humicola;Arthrobacter humicola;;aerobic;
43665;Paenarthrobacter;Paenarthrobacter ilicis;Paenarthrobacter ilicis;;aerobic;
