kremer_genus;kremer_species;kremer_species;kremer_source;kremer_growthTemp;kremer_growthRate;kremer_growthRateLnCorr
Amphidinium;Amphidinium carteri;Amphidinium carteri;marine;10|15|20|25|15|22|25;0.2|0.27|0.31|0.35|0.52|0.37|0.38|0.42|0.44|0.45|0.53|0.58|0.37|0.52|0.56|0.61|0.68|0.554517744|0.896932452|0.684829414;11.50537802|11.80548262|11.94363296|12.06499381|12.46088947|11.89299441|11.91966266|12.01974612|11.84645978|11.86893263|12.03256206|12.12271315|11.46075404|11.80107985|11.87518782|11.96070999|12.06934383|12.29759021|12.4728283|12.07642081
Amphiprora;Amphiprora ;Amphiprora ;marine;14|17|21|28|31;0.138629436|0.34657359|0.415888308|0.901091335|0.693147181;10.95617569|11.73875497|11.74703722|12.22678321|11.84279214
Amphora;Amphora ;Amphora ;freshwater;15|20|25|30|35;0.013169796|0.17467309|0.063076393|0.068621571|0.026339593|0.036043653|0.060303805|0.081791367|0.113676138;8.557417433|11.14240758|9.904031629|9.988291982|8.818324279|9.131981822|9.441219777|9.745996274|9.876418068
Anabaena;Anabaena ;Anabaena ;freshwater;18|23|28|35|20|24|28|32|35|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28|10|13|16|19|21|23|25|28;0.24329466|0.255078162|0.353505062|0.371526889|0.565608099|0.604424341|0.503224853|0.527485004|0.407570542|0.528178152|0.577391601|0.867127123|0.410343131|0.353|0.397|0.362|0.517|0.444|0.409|0.392|0.375|0.177|0.319|0.422|0.509|0.56|0.733|0.698|0.711|0.246|0.444|0.612|0.634|0.776|0.793|0.69|0.672|0.28|0.332|0.362|0.44|0.47|0.496;11.34097494|11.38827166|11.49926166|11.5489851|11.76107802|11.82745309|11.36410165|11.41118499|11.76989908|11.85859955|11.78169731|12.02672454|11.16005827|12.07352871|12.05350105|11.8265662|12.0510873|11.81244505|11.64507901|11.51851287|11.35010262|11.38321039|11.83475587|11.9799273|12.03549244|12.04455727|12.22850956|12.09547014|11.98984902|11.71239219|12.16538933|12.35165427|12.25509338|12.37077301|12.30718708|12.08394263|11.93343493|11.84185026|11.87469974|11.74005696|11.69468863|11.80339522|11.78409655|11.75382696|11.62975252
Anabaena;Anabaena bergii;Anabaena bergii;freshwater;20|25|27.5|30|35;0.203|0.263|0.243|0.224|0.093;11.07289103|11.11940507|10.93674515|10.75347063|9.67566405
Anabaena;Anabaena cylindrica;Anabaena cylindrica;freshwater;20|25|27.5|32.5|35;0.46|0.93|0.75|0.53|0.58;11.89091154|12.38243562|12.06375692|11.51450871|11.50609266
Anabaena;Anabaena flos-aquae;Anabaena flos-aquae;freshwater;15|21|27|33|39|5|10|15|20|25;0.14|0.126|0.406|0.63|0.168|0.462|0.63|0.154|0.434|0.616|0.252|0.7|0.798|0.04436142|0.283497197|0.571153277|0.808209613|0.079711926;10.92113383|10.5529024|11.72297365|12.16234031|10.58822313|11.59982405|11.90997897|10.2587421|11.29483403|11.64503646|10.5180702|11.53972144|11.67074971|10.23518161|11.85426289|12.32714902|12.4545065|9.925670246
Anabaena;Anabaena macrospora;Anabaena macrospora;freshwater;10|15|20|25|27.5|30;0.062|0.113|0.17|0.19|0.18|0.16;10.33419504|10.70687923|10.89548349|10.79427511|10.63664056|10.41699839
Anabaena;Anabaena ukrainica;Anabaena ukrainica;freshwater;8|11|14|17|20|23|26|29|32;0.011|0.05|0.065|0.136|0.145|0.171|0.207|0.213|0.144|0.254|0.346|0.191|0.381|0.461|0.256|0.547|0.594|0.262|0.618|0.778|0.217|0.564|0.703|0.237|0.534|0.673;8.698250015|10.21237775|10.47474201|11.07356099|11.13763985|11.16603481|11.35709004|11.38566341|10.86047309|11.42799406|11.73709857|11.01195848|11.70248443|11.89308309|11.1765413|11.93581266|12.01824318|11.07396089|11.93210484|12.16234291|10.76226331|11.71742021|11.93772285|10.72959909|11.54193478|11.77328427
Ankistrodesmus;Ankistrodesmus falcatus;Ankistrodesmus falcatus;freshwater;5|10|15|20|25|30|35;0.87|0.85|0.83|1.1|0.96|1.16|1.3;13.21130465|12.95229701|12.70091711|12.76275051|12.41418432|12.39799986|12.3131841
Aphanizomenon;Aphanizomenon aphanizomenoides;Aphanizomenon aphanizomenoides;freshwater;10|15|20|25|30|35|15|20|25|27.5|30|35;0.065|0.415|0.77|1.037|1.268|1.452|0.171|0.293|0.344|0.354|0.324;10.38144793|12.00776993|12.40607557|12.49133824|12.48702071|12.42376175|11.12115496|11.43985766|11.38789269|11.31298062|11.21112149|10.92380807
Aphanizomenon;Aphanizomenon flos-aquae;Aphanizomenon flos-aquae;freshwater;11|14|17|20|23|26|29|32|8|11|14|17|20|23|26|29|32|10|15|20|25|27.5|30|5|10|15|20|25|30|13|18|24|28|31;0.05|0.318|0.381|0.444|0.476|0.54|0.604|0.805|0.656|0.667|0.826|0.656|0.752|0.815|0.678|0.805|0.836|0.614|0.773|0.879|0.16|0.173|0.138|0.205|0.256|0.25|0.33|0.362|0.269|0.417|0.506|0.279|0.59|0.788|0.324|0.76|0.923|0.324|0.769|0.904|0.33|0.744|0.917|0.218|0.535|0.872|0.121|0.191|0.242|0.261|0.243|0.052|0.092188575|0.332710647|0.655024086|0.896932452|1.171418735|0.657796674|0.238|0.336|0.686|0.742|0.658;10.07292911|11.78642263|11.96717062|12.12019581|12.05607765|12.18222893|12.29423399|12.16325925|12.45052733|12.11752465|12.1341539|12.34795863|11.99177717|12.12835271|12.2088045|11.90151325|12.07320824|12.11099457|11.68153387|11.91181799|12.04032384|11.37552856|11.45364634|11.08815979|11.48391609|11.70608355|11.54583217|11.8234639|11.91601546|11.48537117|11.92374601|12.11719646|11.39089683|12.13980759|12.42918314|11.41210737|12.26468229|12.45899309|11.2863599|12.15070735|12.31244574|11.18145862|11.994407|12.20347343|10.64603401|11.54380569|12.03232837|11.0028512|11.23176483|11.24862278|11.11177144|10.93674515|9.293068293|10.96664765|12.01433384|12.46416341|12.55866561|12.61322192|11.83072045|11.54183545|11.6638128|12.12004354|12.03252583|11.79075471
Aphanizomenon;Aphanizomenon gracile;Aphanizomenon gracile;freshwater;10|15|20|25|27.5|30|20|25|27.5|30|32.5|35;0.151|0.171|0.272|0.273|0.293|0.263|0.42|0.58|0.81|0.75|0.87|0.85;11.22434049|11.12115496|11.36548712|11.15672283|11.12385632|10.91397861|11.79993976|11.91027914|12.14071796|11.96189778|12.01012492|11.88830091
Aphanizomenon;Aphanizomenon ovalisporum;Aphanizomenon ovalisporum;freshwater;20|26|30|15|20|25|27.5|30|35;0.08|0.21|0.2|0.082|0.149|0.292|0.322|0.353;10.14171168|10.85272391|10.64014194|10.38621065|10.76363136|11.22400484|11.12043751|11.11637612|11.00953261
Aphanocapsa;Aphanocapsa incerta;Aphanocapsa incerta;freshwater;12|13|14.5|15.5|16.5|18.5|19.5|20.5|21|22|23|24|25.5|26.5|27.5|28.5|29|30.5|31.5|32.5|33|34|36|36.5;0.091|0.148|0.195|0.188|0.245|0.212|0.255|0.252|0.264|0.284|0.292|0.277|0.31|0.288|0.314|0.31|0.291|0.309|0.312|0.263|0.158|0.047;10.62593478|11.06677705|10.9991046|11.23016766|11.14919465|11.32609382|11.13791397|11.27937965|11.24604958|11.24979685|11.2803381|11.26591972|11.15041636|11.22147556|11.10664419|11.06569793|11.13175895|11.05822631|10.95483479|10.97497298|10.96479268|10.7544529|10.1666791|8.934835832
Asterionella;Asterionella formosa;Asterionella formosa;freshwater;5|10|15|20|25|2|6|11|16|21|5|8|10|15|20|2|5|8|11|14|17|20|25|5.5|18.5|8|11.5|12.5|13|13.5|17|18|19|20;0.457|0.484|0.623|0.624|0.653|0.713|0.888|0.903|0.912|1.155|1.164|1.303|1.066|1.127|1.129|0.06|0.118|0.199|0.266|0.285|0.066|0.125|0.226|0.334|0.375|0.064|0.131|0.253|0.442|0.598|0.645|0.071|0.137|0.266|0.483|0.726|0.84|0.847|0.056|0.11|0.218|0.409|0.685|0.882|0.917|0.42|0.64|0.58|0.65|0.71|0.277258872|0.42281978|0.533723329|0.72780454|0.99813194|1.046652243|1.164487263|1.07437813|0.928817222|0.735|1.916|0.133|0.346|0.411|0.577|0.457|0.891|0.827|1.003|1.05;12.56749483|12.62489635|12.87735796|12.64321103|12.68863779|12.77654208|12.76846315|12.78521396|12.7951314|12.81154067|12.81930268|12.93210963|12.51891964|12.57456555|12.5763386|10.68271915|11.35905921|11.88167941|12.1718709|12.24086377|10.5846404|11.2232994|11.81552066|12.20612665|12.32191168|10.31978919|11.03610343|11.69429559|12.25221599|12.55449686|12.63015642|10.19760187|10.85490292|11.5184183|12.11493864|12.52247201|12.66832388|12.67662269|9.741972181|10.41710086|11.10111555|11.73033565|12.24603933|12.49881255|12.53772796|12.48306615|12.76182292|12.57008876|12.45646377|12.32495002|12.21332621|12.48975747|12.58023234|12.75093863|12.93025672|12.8440118|12.95069594|12.73918234|12.38116301|13.01872614|13.38283057|11.19070387|11.98438921|12.11087341|12.42740704|12.17161199|12.68300422|12.56450634|12.71379521|12.71623049
