kremer_genus;kremer_species;kremer_species;kremer_source;kremer_growthTemp;kremer_growthRate;kremer_growthRateLnCorr
Chlorella;Chlorella ;Chlorella ;freshwater|marine|freshwater|marine;18|23|28|35|15|20|25|30|35|8|11|14|17|20|23|26|29|32|15|21|27|33|15|20|30|40|8|14|20|24;0.213489332|0.506690589|0.416581456|0.822765703|0.38608298|0.879603772|0.20170583|0.632150229|0.097803067|0.104318651|0.110487661|0.113745452|0.106467407|0.117696391|0.120261036|0.127885655|0.13398535|0.138005604|0.140570248|0.147085832|0.09094091|0.098496214|0.105011798|0.108685478|0.070631698|0.073542916|0.076038246|0.0847719|0.032|0.086|0.15|0.257|0.289|0.354|0.632|0.654|0.686|0.857|0.911|1.029|1.093|1.157|1.082|1.125|1.243|1.018|1.093|1.146|1.05|1.093|1.168|0.196|0.21|0.252|0.714|0.728|0.574|0.854|0.98|0.392|0.616|0.63|0.189|0.278|0.39|0.347|1.675|3.157|3.353|3.575;11.21028851|12.07460218|11.66344587|12.34403533|11.37922891|12.20264814|10.44987491|11.59219163|10.56244734|10.62694157|10.68439526|10.71345448|10.42752395|10.5277934|10.54934973|10.61082159|10.4449815|10.47454533|10.49295838|10.53826734|9.852034529|9.931842685|9.99589728|10.03028276|9.400543581|9.440933684|9.474301008|9.583028677|9.766090645|10.6152534|11.1715414|11.57344733|11.69079794|11.89366816|12.33954919|12.37376714|12.42153742|12.29056268|12.51312297|12.57422795|12.56770659|12.62804535|12.68494959|12.49218284|12.5311547|12.63089947|12.30796116|12.37904745|12.42639886|12.21808439|12.25822043|12.32458711|11.25760607|11.32659894|11.50892049|11.24604958|12.28750345|12.30692154|11.81688855|12.21419035|12.35181173|11.19305133|11.64503646|11.66750931|11.22123842|11.38730616|11.30797131|10.79997644|13.72392319|14.08174874|13.8772958|13.77088637
Chlorella;Chlorella homosphaera;Chlorella homosphaera;freshwater;14|20|28;0.95|1.19|0.56;12.88083323|12.84139364|11.75111337
Chlorella;Chlorella pyrenoidosa;Chlorella pyrenoidosa;freshwater;10|15|20|25|30;0.331632|0.723142|0.916594|0.877443|0.195755;12.01108658|12.56309701|12.58034968|12.32426303|10.61868845
Chlorella;Chlorella sorokiniana;Chlorella sorokiniana;freshwater;18|20|21.5|25|28.5|30|31.5|34.5|35|36.5|37|39|40;0.616207844|1.04|0.473419524|1.483334966|1.861|2.39690295|2.45|3.725666096|2.363|2.88|3.824092995|4.965706402|6.051868033|2.901|3.18|6.453893398|3.095|3.297994285|6.528753294|2.939;12.27028596|12.70666104|11.85517976|12.99724601|13.07612029|13.32918378|13.35109434|13.62573839|13.10951185|13.30737015|13.53058812|13.79182237|13.8707721|13.11587534|13.20770103|13.85712709|13.10289812|13.08971088|13.77261239|12.93647633
Chlorella;Chlorella vulgaris;Chlorella vulgaris;freshwater;16|20|27|28|32.5|34.5|10|15|20|25|30|35|40|26|31|33|36|39|10|15|20|25|30|35|18|21.5|25|28.5|4|11|18|25|32|13|18|23|28|33|38;0.154|0.238|0.294|0.322|0.364|0.35|0.071|0.109|0.111|0.213|0.217|0.255|0.258|0.261|0.032|0.111|0.135|0.182|0.186|0.217|0.245|0.248|0.273|0.291|0.311|0.331|0.337|0.342|0.359|0.361|0.17|0.191|0.206|0.234|0.243|0.331|0.332|0.333|0.378|0.379|0.392|0.395|0.411|0.444|0.459|0.219|0.225|0.318|0.337|0.358|0.395|0.418|0.427|0.429|0.431|0.445|0.463|0.466|0.112|0.251|0.255|0.325|0.331|0.395|0.438|0.444|0.458|0.478|0.48|0.486|0.488|0.494|0.502|0.506|0.153|0.178|0.188|0.289|0.301|0.387|0.389|0.416|0.419|0.424|0.432|0.448|0.449|0.481|0.485|0.197|0.274|0.295|0.299|0.301|0.324|0.331|0.363|0.364|0.386|0.599|0.329|0.399|0.246|0.413|0.763|0.987|1.113|1.274|1.148|1.165873558|1.23172254|1.615726078|1.63721364|2.089145602|2.111326312|0.892080421|0.108|0.219|0.24|0.225|0.159|0.234|0.287|0.283|0.312|0.322|0.251;10.97187459|11.23195572|11.14783892|11.19772814|11.13878558|11.02058299|10.46974053|10.89840854|10.91659086|11.56835282|11.58695801|11.7483242|11.76002024|11.77158107|9.44522731|10.68902161|10.88476619|11.18349809|11.20523808|11.35938876|11.48074962|11.49292015|11.5889632|11.65281467|11.71928432|11.78160978|11.79957434|11.81430214|11.8628138|11.86836937|10.89548349|11.01195848|11.08756122|11.21500617|11.25274649|11.56180343|11.56482002|11.56782754|11.69457925|11.69722126|11.73094689|11.73857082|11.77827826|11.85550961|11.88873526|10.93632276|10.96335144|11.30930242|11.36733397|11.42778402|11.5261368|11.58273247|11.60403505|11.60870795|11.61335913|11.64532532|11.68497809|11.69143667|10.06032345|10.86727751|10.88308812|11.12564976|11.14394295|11.32071034|11.42404348|11.43764914|11.46869376|11.51143531|11.51561068|11.5280332|11.53213998|11.54436009|11.56042469|11.56836124|10.17350248|10.32484811|10.37950652|10.80949125|10.85017482|11.10148925|11.1066439|11.17374982|11.18093548|11.19279801|11.21149015|11.24785779|11.25008744|11.31893183|11.32721345|10.23385539|10.56377977|10.63762702|10.65109523|10.65776192|10.73139517|10.75277003|10.84505449|10.84780553|10.90648903|11.90087798|11.09760753|11.01784725|11.09304548|10.49397264|12.23050825|12.61674944|12.65435509|12.56206539|12.49174141|12.18884113|12.90792756|12.96287055|13.08273755|13.0959489|13.19176149|13.20232265|12.19629374|11.17311357|11.54997784|11.32734057|10.96335144|10.33044315|11.52488589|11.50618386|11.27681076|11.16617978|10.99634104|10.55232769
Chlorogonium;Chlorogonium ;Chlorogonium ;freshwater;25|30|35|40;2.143|2.465|2.796|2.797;13.21721303|13.15177166|13.07900966|12.88695435
Chloroidea;Chloroidea ellipsoideum;Chloroidea ellipsoideum;marine|freshwater;15|20|25|30|7|15|25;0.31|0.36|0.37|0.35|0.37|0.4|0.41|0.45|0.6|0.44|0.48|0.52|0.012476649|0.025646446|0.02703274|0.029112182|0.029805329|0.04436142|0.046440861|0.050599744|0.051292891|0.055451774|0.067928424|0.02703274|0.05891751|0.088029692|0.106051519|0.109517255|0.14001573|0.164969029|0.22873857|0.241215219|0.276565725|0.318847703|0.348653032|0.035350506|0.07139416|0.102585783|0.122687051|0.132391111|0.229431717|0.271020548|0.402025365|0.446386784|0.533030182|0.595413428|0.684829414;11.7160637|11.86559544|11.89299441|11.6176182|11.67318806|11.7511496|11.56340819|11.65649862|11.94418069|11.4285993|11.51561068|11.59565339|8.871360124|9.591906311|9.644550031|9.718658019|9.74218851|10.13987148|10.185681|10.27144782|10.28505347|10.36301501|10.56595587|9.276540131|10.05562974|10.45716557|10.64341641|10.67557352|10.92124618|11.08524916|11.41207114|11.46518097|11.6019399|11.74420498|11.83356866|9.112563741|9.815467108|10.17795039|10.35688785|10.43301154|10.98285649|11.14944568|11.54376622|11.64843684|11.82582908|11.93650704|12.07642081
Chroococcus;Chroococcus minutus;Chroococcus minutus;freshwater;15|20|25|30|35;0.73|0.98|1.28|1.35|0.99;12.57253594|12.64723762|12.70186639|12.54968445|12.0407695
Coelastrum;Coelastrum astroideum;Coelastrum astroideum;freshwater;15|20|25|30|35;0.47|0.75|1.16|1.59|1.64;12.1322241|12.37975826|12.60342632|12.71331387|12.54551608
Conticribra;Conticribra guillardii;Conticribra guillardii;marine;4|10|15|20|25;0.399252776|1.20954183|1.476403495|1.449370755|0.937828135;12.48057709|13.30505757|13.27685575|13.03856983|12.39081774
Conticribra;Conticribra weissflogii;Conticribra weissflogii;marine;10|20|13|15|16|18|20|21|24|25|27|29|9|12|16|20|25|10|15|20|25;0.43|1.06|0.17|0.351|0.485203026|0.554517744|0.762461899|0.529|0.65|0.915|1.036|0.762461899|0.901091335|1.178350207|1.456|1.517|1.608|1.842|0.831776617|1.594238515|2.49532985|1.873|1.908|2.01|2.354|0.162|0.587|0.548|0.517|0.387|0.21|0.22|0.54|0.55|0.56|0.64|0.67|0.7|0.25;12.27084587|12.72570924|11.20536321|11.930351|12.16405882|12.29759021|12.61604395|12.20591042|12.41189435|12.66562571|12.78982406|12.39623759|12.56329167|12.83155566|13.00006872|13.04111047|12.97191236|13.10777313|12.27081495|12.92140252|13.36942724|12.99955586|13.01807001|12.98825596|13.14623725|11.34113871|12.4901001|12.24119728|12.00772792|11.50567573|11.55416819|11.6006882|12.27106055|12.28940969|12.30742819|12.22115323|12.26696276|12.31076539|11.06871195
Corethron;Corethron pennatum;Corethron pennatum;marine;0|2|4|6;0.171|0.243|0.261|0.298|0.181|0.208|0.236|0.268|0.241|0.251|0.34|0.375|0.127|0.129|0.151;11.82885659|12.18025448|12.25171344|12.38428652|11.78687162|11.92591267|12.05220639|12.17936157|11.97577928|12.01643528|12.31992796|12.41790837|11.23917274|11.25479806|11.41226549
Coscinodiscus;Coscinodiscus ;Coscinodiscus ;marine;10|13|17|20|25;0.136|0.286|0.334|0.181|0.207;11.11971554|11.72555658|11.70180078|10.95818208|10.87996983
Coscinodiscus;Coscinodiscus excentricus;Coscinodiscus excentricus;marine;11|14|17|21|28|31|34|37;0.138629436|0.831776617|0.623832463|0.207944154|0.831776617|0.207944154|0.34657359;11.09271055|10.95617569|12.61422371|12.15250233|10.76044614|12.02511369|10.51956843|10.91345011
Coscinodiscus;Coscinodiscus pavillardii;Coscinodiscus pavillardii;marine;20|25|28;0.598186017|0.726418245|0.795732963;12.15358682|12.13537698|12.10244025
Coscinodiscus;Coscinodiscus wailesii;Coscinodiscus wailesii;marine;5|9|10|12.5|15|20|25|30;0.216|0.332710647|0.458863434|0.461|0.487975615|0.528178152|0.484|0.587788809|0.76939337|0.585|0.963474581|1.011994884|0.835|0.36;11.81808985|12.06081556|12.38229501|12.3404587|12.28254563|12.36171383|12.16157631|12.35585912|12.62509378|12.1312969|12.63023116|12.67936384|12.27468276|11.22792861
Crocosphaera;Crocosphaera watsonii;Crocosphaera watsonii;marine;25|26|27|28|29|30|31|25|26|27|28|29|30|31|25|26|27|28|29|30|31|24|26|28|32|24|26|28|32|24|26|28|32;0.078|0.812|1.2|0.078|0.802|1.02|1.06|0.078|0.093|0.491|0.078|0.214|0.2162|0.2348|0.2389|0.255|0.266|0.2978|0.302|0.3277|0.3312|0.351|0.3546|0.2847|0.3045|0.3395|0.3578|0.3489|0.3554|0.3567|0.3678|0.46712812|0.4723|0.488347722|0.495284495|0.4973|0.5215|0.5258|0.5532|0.4056|0.4532|0.4577|0.4838|0.3136|0.3197|0.3354|0.3484|0.464762398|0.4776|0.484090015|0.494872549|0.501038284|0.51|0.510998372|0.514258769|0.4156|0.427|0.4757|0.4865;9.903959862|12.20511672|12.1637595|12.51325343|12.4724428|12.43190141|9.658258603|9.903959862|12.19272499|12.15136776|12.3507345|12.30992387|12.30784876|9.658258603|9.903959862|9.862325209|9.996858649|11.61962072|11.57881009|9.698533401|9.658258603|10.95514193|10.96536982|11.0479|11.06521097|11.04687993|11.08911269|11.2020385|11.2160434|11.21527515|11.22589901|11.28396281|11.29416698|10.91297494|10.98021003|11.08901289|11.14151312|11.44395126|11.46240983|11.46606101|11.49670523|11.65221995|11.66323076|11.69664408|11.71074872|11.63237006|11.67988587|11.6880975|11.73889619|11.2669064|11.37787247|11.38775289|11.44321054|11.3372842|11.35654897|11.40448976|11.44251716|11.64714269|11.67438994|11.68788725|11.70991664|11.6398591|11.65758732|11.65954299|11.66590317|11.2912622|11.31832296|11.42632635|11.44877585
Cyclotella;Cyclotella cryptica;Cyclotella cryptica;marine;10|13|16.5|20|25;0.448|0.573|0.636|0.676|0.775;12.31185389|12.42045049|12.36795125|12.27587813|12.20011406
Cyclotella;Cyclotella meneghiniana;Cyclotella meneghiniana;freshwater;13|16|19|22|25|28|13|16|19|22|25|28;0.296|0.324|0.488|0.565|0.711|0.438|0.611|0.816|0.962|1.026|1.204|0.935;11.75992423|11.71566551|11.99335983|12.01067348|12.11392346|11.5053955|12.48466173|12.63933635|12.67205887|12.60727077|12.64065566|12.26372312
Cylindrospermopsis;Cylindrospermopsis raciborskii;Cylindrospermopsis raciborskii;freshwater;15|20|25|30|35|40|15|20|25|30|35|40|15|20|25|30|35|15|20|25|30|35|15|20|25|27|30|35|40|15|20|25|30|35|40|15|20|25|30|35|15|20|25|27.5|30|35|17|20|22|25|27|27.5|32|32.5|35|20|21|24|25|26|28|30|32|34|35|20|21|24|25|26|28|30|32|34|35|25|30|35|20|25|30|35|20|25|30|35|20|25|30|35|20|25|30|35;0.162|0.289|0.42|0.423|0.354|0.033|0.144|0.316|0.436|0.431|0.397|0.064|0.092|0.18|0.289|0.282|0.275|0.074|0.32|0.434|0.415|0.443|0.103|0.275|0.325|0.332|0.425|0.282|0.88|0.952|1.154|0.885|1.022|1.275|0.344|1.107|1.353|1.678|0.356|0.903|1.373|1.582|0.184|0.08|0.254|0.408|0.42|0.379|0.167|0.138|0.231|0.346|0.42|0.31|0.114|0.252|0.31|0.334|0.115|0.14|0.4|0.6|0.74|0.69|0.81|0.71|0.79|0.72|0.268941106|0.249532985|0.352811915|0.475498966|0.594720281|0.633536523|0.499759117|0.503224853|0.517087797|0.367368006|0.41796775|0.20170583|0.235670041|0.289042374|0.528178152|0.722259362|0.822765703|0.485203026|0.68344312|0.725031951|0.675125354|0.393707599|0.21626192|0.264089076|0.225965981|0.355584504|0.607890077|0.741667483|0.500452264|0.201012682|0.639774848|0.854650474|0.770086518|0.177445678|0.408263689|0.552438303|0.432523841|0.21626192|0.341028413|0.571846424|0.566994394;11.06708774|11.42611174|11.58750575|11.38919675|11.01236147|8.44715922|10.94930471|11.51542726|11.62489328|11.40793266|11.12700084|9.109534742|10.50127998|10.9526419|11.21367772|10.98373165|10.75983565|10.2835565|11.52800605|11.62029557|11.37010309|11.23663433|10.6142204|11.37645615|11.54351023|11.56482002|11.81177422|11.18915811|12.32717294|12.40581607|12.59824048|12.2498468|12.39377593|12.61496061|11.18246623|12.35123351|12.5519042|12.76718246|11.01799529|11.94878711|12.36781796|12.50950971|10.16558742|10.36151804|11.29701932|11.55851821|11.38207929|11.08060076|10.06864547|10.90674509|11.20210276|11.39368981|11.38207929|10.87963685|10.71568986|11.28911414|11.28382333|11.2548247|11.15296557|9.887996686|10.83230221|11.7511496|12.0707774|12.15390122|12.00095075|12.14071796|11.82680392|11.91366465|11.72231577|11.35417747|11.2362116|11.45510101|11.71161574|11.89370756|11.87449424|11.55595079|11.56286167|11.50975163|11.08866296|11.17846883|11.0664954|11.17905319|11.25573921|11.81668467|12.08800068|12.13584806|11.52639199|11.86896801|11.84775467|11.69719726|11.11867306|10.9237413|10.91811103|10.56344902|11.63344798|11.95724511|11.95072558|11.35857677|11.06305305|12.00836735|12.09251716|11.78956743|10.93834957|11.5591643|11.65616633|11.21270201|11.13617532|11.37921683|11.69069504|11.48341397
Cylindrotheca;Cylindrotheca closterium;Cylindrotheca closterium;marine;20|25|30|35|10|16|17.5|22.5|31|17|20|23|25|27|29;0.38|0.31|0.08|0.153185527|0.173979942|0.207251007|0.45470455|0.17467309|0.028419034|0.569766982|0.303598465|0.168|0.385|0.397|0.438|0.245|0.411|0.44|0.464|0.259|0.536|0.549|0.567|0.254|0.515|0.534|0.542|0.207|0.506|0.529|0.537|0.198|0.496|0.516|0.523;11.6998563|11.48742229|11.07839687|9.525091192|11.23871044|11.36600067|11.26885264|12.05456986|11.03155908|8.999629009|11.99779735|11.01725577|11.01462377|11.84390313|11.87459607|11.9728787|11.26094326|11.77827826|11.84645978|11.8995696|11.18819192|11.91549802|11.9394623|11.97172316|11.0845853|11.79141794|11.82764687|11.84251704|10.79697795|11.69079582|11.73524759|11.75025725|10.67063299|11.58894189|11.62847273|11.64194742
Dactyliosolen;Dactyliosolen fragilissimus;Dactyliosolen fragilissimus;marine;9|12|18|25|30;0.311916231|0.332710647|0.34657359|0.381230949|0.395093893|0.402025365|0.408956837|0.415888308|0.429751252|0.436682724|0.450545667|0.457477139|0.464408611|0.485203026|0.492134498|0.49906597|0.505997442|0.540654801|0.568380688|0.582243632|0.603038047|0.609969519|0.616900991|0.630763934|0.637695406|0.644626878|0.65155835|0.693147181|0.700078652|0.72780454|0.734736011|0.797119258|0.804050729|0.817913673|0.831776617|0.57531216|0.630763934|0.644626878|0.672352765|0.679284237|0.693147181|0.720873068|0.741667483|0.755530427|0.762461899|0.776324842|0.783256314|0.790187786|0.797119258|0.804050729|0.810982201|0.817913673|0.824845145|0.84563956|0.388162421|0.429751252|0.471340083|0.547586273|0.57531216|0.693147181|0.707010124|0.713941596|0.755530427|0.762461899|0.776324842|0.783256314|0.790187786|0.804050729|0.810982201|0.831776617|0.838708088|0.630763934;11.99627703|12.06081556|12.10163755|12.19694773|12.23266581|12.25005756|12.26715199|12.28395911|12.31674893|12.33274927|12.36400181|12.37926929|12.39430716|12.43810979|12.31382732|12.32781357|12.34160689|12.40785627|12.45786669|12.48196425|12.51705557|12.52848426|12.53978382|12.56200695|12.57293602|12.58374694|12.59444223|12.65631763|12.66626796|12.7051078|12.71458654|12.79607958|12.80473764|12.82183207|12.83863919|12.20161442|12.29363332|12.31537331|12.35748479|12.36774129|12.387944|12.42716471|12.45560265|12.4741217|12.48325418|12.50127269|12.51016163|12.51897226|12.52770594|12.536364|12.54494775|12.55345844|12.56189731|12.58679486|11.5086749|11.61045759|11.70283091|11.85277106|11.90216382|12.08849339|12.10829602|12.1180522|12.17467109|12.18380357|12.20182208|12.21071103|12.21952166|12.2369134|12.24549714|12.27081495|12.27911375|11.78875625
Desmodesmus;Desmodesmus abundans;Desmodesmus abundans;freshwater;10|15|20|25|30|35;0.25|0.86|1|1.6|1.75|1.95;11.72852158|12.7364238|12.66744033|12.92500994|12.80919564|12.71864921
Desmodesmus;Desmodesmus maximus;Desmodesmus maximus;freshwater;20|25|27.5|32.5|35;0.24|0.4|0.69|0.78|0.86;11.24032397|11.53871558|11.98037531|11.90092563|11.89999695
Desmodesmus;Desmodesmus quadricaudatus;Desmodesmus quadricaudatus;freshwater;26|31|33|36|39|3|5|10|14.2|16.8|19.9|25.5|14|15|20|21|24|25|27|27.5|30|32|32.5|33|35|10|14|18|22|26|30|32|34|36|37;0.377|0.486|0.51|0.36|0.182|0.104|0.182|0.345|0.576|0.631|0.891|1.068|0.118528168|0.238|0.266|0.133084259|0.33|0.252|0.686|0.798|0.205864713|0.62|0.112|0.56|0.798|0.75|0.236363189|0.82|0.248146691|0.85|0.21|0.224|0.04921345|0.36|0.103|0.242|0.711|0.976|1.125|1.206|1.235|1.243|1.235|1.155;11.43786157|11.4877584|11.45620022|10.99018809|10.1926478|11.18389303|11.64681813|12.05060507|12.37147795|12.34679367|12.5563521|12.49994188|10.79952189|11.45176208|11.56298772|10.6506675|11.5587777|11.24604958|12.24749812|12.39872909|10.91638513|11.97697051|10.18275803|11.79219594|12.14636775|12.06375692|10.80719413|12.05112891|10.77555901|11.98686806|10.56889703|10.63343555|9.039231517|11.02916859|10.84178965|11.51330898|12.41337407|12.55731033|12.5311547|12.43688895|12.38036519|12.30758196|12.22291031|12.11721056
Detonula;Detonula confervacea;Detonula confervacea;marine;2|4|7|10|12|15|-1.8|0|2|5|10;0.013862944|0.069314718|0.090109133|0.110903549|0.187149739|0.242601513|0.277258872|0.284190344|0.304984759|0.34657359|0.402025365|0.443614196|0.492134498|0.519860385|0.533723329|0.561449216|0.603038047|0.700078652|0.734736011|0.762461899|0.76939337|0.804050729|0.810982201|0.831776617|0.84563956|0.555210892|0.15249238|0.180218267|0.388162421|0.547586273|0.623832463|0.644626878|0.65155835|0.672352765|0.72780454|0.824845145|0.831776617|0.838708088|0.866433976|0.887228391|0.901091335|0.935748694|0.942680166|0.949611637|0.970406053|0.977337525|0.991200468|1.018926355|1.039720771|1.053583714|1.102104017|0.969712906|0.173286795|0.332710647|0.464408611|0.49906597|0.519860385|0.623832463|0.637695406|0.665421293|0.672352765|0.679284237|0.686215709|0.693147181|0.72780454|0.755530427|0.824845145|0.956543109|1.018926355|1.032789299|1.039720771|1.07437813|0.546893125|0.336|0.595|0.623|0.781|0.89;9.217593968|10.82703185|11.08939611|11.29703548|11.82028363|12.07979482|12.21332621|12.23801883|12.30863639|12.43646976|12.58488977|12.68332984|12.78712664|12.84193487|12.86825218|12.91889591|12.99035488|13.13956728|13.18788585|13.22492713|13.23397696|13.27803695|13.28662069|13.3119385|13.3284678|12.81033037|11.37461593|11.54167002|12.30892517|12.65302133|12.78338315|12.81617297|12.82686826|12.85828446|12.93753383|13.06269697|13.07106522|13.07936402|13.11188722|13.13560374|13.15110793|13.18884826|13.19622837|13.2035544|13.2252159|13.23233337|13.24641811|13.27400607|13.29420877|13.307454|13.35247768|13.08406071|11.27002327|11.92234846|12.25584007|12.32781357|12.36863556|12.55095712|12.57293602|12.61549564|12.62585843|12.63611493|12.6462673|12.65631763|12.7051078|12.74249533|12.83027094|12.97840113|13.04158003|13.05509375|13.06178274|13.09457256|12.28374481|12.59448628|13.07575444|13.02292111|13.10338659|12.99828212
Diatoma;Diatoma tenue;Diatoma tenue;freshwater;15|20|23|26;0.89970504|1.656621762|1.281629137|1.007142853;12.78155838|13.17222077|12.78725117|12.42048913
Ditylum;Ditylum brightwellii;Ditylum brightwellii;marine;13|20|27|30|9|12|13|16.5|20|25;0.880990066|1.482641819|1.734947393|1.161714675|0.409|0.625|0.508|0.696|0.725|0.676;12.85061112|13.06126584|12.92299153|12.39947694|12.26725753|12.55282692|12.30004622|12.45810235|12.34585671|12.06344411
Dunaliella;Dunaliella ;Dunaliella ;marine;15|25;1.93|1.85;13.54476669|13.07019195
Dunaliella;Dunaliella tertiolecta;Dunaliella tertiolecta;marine;10|15|20|25|12|16|18|28|12.3|16|16.3|19.5|20|20.5|21|25|26.5|28.5|29|30.5|31|32|32.5|33|34|34.5|35|35.5|36.5|37|37.5|39|40|10|15|17.5|20|25;0.63|0.812|0.826|1.33|1.218|1.4|0.952|1.092|0.477|0.538|0.991|0.996|1.15|1.17|2.19|2.24|0.304984759|0.443614196|0.935748694|0.561449216|1.095172545|0.471340083|0.797119258|1.22687051|1.829908557|1.531855269|1.316979643|1.608101459|2.398289245|2.685252177|2.75110116|2.191731385|2.518896854|2.936864604|3.133718403|2.223616155|2.599301927|3.28690393|2.360859297|2.540384417|3.19610165|2.137665905|3.047075006|2.193810826|2.33313341|3.480291994|1.217859596|2.766350398|2.52721462|2.961817903|2.273522752|1.436200958|1.869417946|2.32828138|2.237479099|1.580375572|1.374510859|0.106|0.148|0.275|0.621|0.671|0.742|1.285|1.412|1.066|1.137|1.194|1.412|1.688|1.758|1.808;12.65278048|12.906561|12.69608618|13.17242563|12.8646505|13.00391257|12.40581607|12.54301719|12.28259177|12.40293384|12.83363653|12.83866925|12.89421886|12.91146067|13.11483341|13.13740774|11.82165045|12.1963439|12.77626894|12.25213254|12.7799949|11.91526493|12.44068935|12.87190696|13.27170633|13.07235098|12.89971673|12.93006058|13.26741421|13.38043319|13.4046598|13.09518455|13.23431378|13.38783528|13.45271302|13.08925601|13.18465221|13.41935536|13.06833072|13.14162047|13.37123689|12.92900876|13.2635691|12.91518491|12.97675695|13.37666097|12.28714904|13.08793402|12.97793759|13.13662307|12.85262852|12.35444491|12.59873734|12.8182406|12.75918898|12.35405891|12.17650487|10.87049975|11.20427293|11.82383176|12.41082249|12.48826054|12.58884065|13.0271569|13.12140532|12.73135366|12.79583354|12.84474934|12.80001345|12.97855071|13.01918311|13.04722758
Entomoneis;Entomoneis ;Entomoneis ;marine;0|5|10|15|17;0.06|0.14|0.15|0.16|0.17|0.22|0.24|0.29|0.34|0.36|0.26|0.28|0.32|0.42|0.48|0.35|0.44|0.51|0.39;10.7815376|11.62883546|11.69782833|11.76236685|11.82299147|11.83643899|11.92345036|12.11269236|12.27175706|12.32891547|11.76774229|11.84185026|11.97538165|12.24731537|12.38084676|11.83742456|12.06626613|12.21390213|11.85680653
Eucampia;Eucampia zodiacus;Eucampia zodiacus;marine;8|9|12.5|15|20|25;0.682056648|0.73473582|0.94267992|1.26845901|2.13489276|2.09330394;12.82546746|12.85305338|12.94100699|13.12504947|13.42585675|13.19374996
Fragilaria;Fragilaria bidens;Fragilaria bidens;freshwater;10|15|20|22|25|29|32;0.482|0.759|1.106|1.085|0.95|0.596|0.397;12.38500477|12.61149318|12.76819023|12.66318301|12.40371302|11.77260663|11.24547523
Fragilaria;Fragilaria capucina;Fragilaria capucina;freshwater;15|20|23|26;1.583841308|1.743958306|1.655235467|1.01546062;13.34709979|13.22359775|13.04306241|12.42871398
Fragilaria;Fragilaria crotonensis;Fragilaria crotonensis;freshwater;10|15|20|25|30|35|15|20|23|26|30|5|8|10|15|20;0.217|0.301|0.441|0.581|0.42|0.217|1.283708578|1.382828625|1.806341553|2.070430628|1.110421783|0.29|0.31|0.47|0.57|0.65;11.58695801|11.68660167|11.84872993|11.91200179|11.38207929|10.52296191|13.1369999|12.99157146|13.1304227|13.14112828|12.35431978|12.11269236|12.03692704|12.35979335|12.32512777|12.23665741
Fragilariopsis;Fragilariopsis cylindrus;Fragilariopsis cylindrus;marine;0|3|5|7|9;0.449|0.649|0.709|0.779|0.456|0.571|0.649|0.709|0.501|0.674|0.779|0.852|0.271|0.516|0.551|0.672|0.276|0.536|0.569|0.672;12.79421592|13.16262575|13.25104856|13.34520408|12.66199494|12.88689134|13.01493484|13.10335765|12.65941754|12.95604155|13.10082248|13.19039797|11.94962013|12.59360807|12.65923612|12.85775965|11.87394324|12.53767653|12.59742281|12.76380071
Fragilariopsis;Fragilariopsis kerguelensis;Fragilariopsis kerguelensis;marine;0|3|4|5|7;0.312|0.502|0.545|0.562|0.173286795|0.51|0.564|0.579|0.631|0.547|0.606|0.71|0.78|0.332710647|0.295|0.319|0.364|0.458;12.43019622|12.90579316|12.98797883|13.01869489|11.69445012|12.77391285|12.87455638|12.9008046|12.98680799|12.79543115|12.89786233|13.05624732|13.15027626|12.25008462|12.03447666|12.11269241|12.24465517|12.47437049
Golenkinia;Golenkinia radiata;Golenkinia radiata;freshwater;8|11|14|17|20|23|26|29|32;0.211|0.253|0.284|0.505|0.621|0.642|0.674|0.832|0.853|0.863|0.926|0.958|0.978|0.958|1.07|1.14|1.168|1.2|1.253|1.095|1.168|1.179|1.189|1.2;11.65221288|11.83374423|11.94932898|12.38546454|12.45570233|12.48895955|12.53760136|12.61449223|12.63941934|12.65107448|12.59055928|12.62453283|12.64519472|12.49621164|12.60677779|12.6701474|12.56866455|12.59569322|12.63891234|12.3808756|12.44541412|12.33396085|12.34240684|12.35161578
Gymnodinium;Gymnodinium ;Gymnodinium ;marine;20|21|24|27|28|30|31|19|23|27|30;0.448466226|0.614128402|0.499759117|0.510849472|0.686908856|0.697999211|0.712555302|0.749985249|0.741667483|0.800584994|0.641854289|0.855343621|0.280031461|0.372220036|0.571153277|0.578084749|0.614821549|0.643240584|0.783949461|0.807516465|0.97595123|1.013381178|1.111808078|1.173498177|0.99813194|1.063980922|1.068832952|1.158248939|0.667500735|0.682056826|0.827617734;11.86551842|12.17988908|11.93074671|11.95269546|12.12136753|12.13738389|12.15802344|12.20921945|12.07316016|12.14960186|11.8875379|12.17467987|10.97672653|11.26130975|11.64920739|11.66127026|12.22437648|12.26956323|12.46738898|12.49700787|12.51477647|12.55241158|12.64510673|12.69910832|12.37014463|12.43403189|12.43858179|12.51892376|11.84536507|11.86693755|12.06037595
