corkrey_taxID;corkrey_genus;corkrey_species;corkrey_speciesStrain;corkrey_growthTemp;corkrey_oxygen;corkrey_trophy;corkrey_doublingH;corkrey_ref
229919;Anaerolinea;Anaerolinea thermolimosa;Anaerolinea thermolimosa;50;anaerobic;heterotroph;48;Yamada T, Sekiguchi Y, Hanada S, Imachi H, Ohashi A, Harada H, et al. Anaerolinea thermolimosa sp. nov., Levilinea saccharolytica gen. nov., sp. nov. and Leptolinea tardivitalis gen. nov., sp. nov., novel filamentous anaerobes, and description of the new classes Anaerolineae classis nov. and Caldilineae classis nov. in the bacterial phylum Chloroflexi. Int J Syst Evol Microbiol. 2006
229920;Leptolinea;Leptolinea tardivitalis;Leptolinea tardivitalis;37;anaerobic;heterotroph;50;Yamada T, Sekiguchi Y, Hanada S, Imachi H, Ohashi A, Harada H, et al. Anaerolinea thermolimosa sp. nov., Levilinea saccharolytica gen. nov., sp. nov. and Leptolinea tardivitalis gen. nov., sp. nov., novel filamentous anaerobes, and description of the new classes Anaerolineae classis nov. and Caldilineae classis nov. in the bacterial phylum Chloroflexi. Int J Syst Evol Microbiol. 2006
229921;Levilinea;Levilinea saccharolytica;Levilinea saccharolytica;38.5;anaerobic;heterotroph;56;Yamada T, Sekiguchi Y, Hanada S, Imachi H, Ohashi A, Harada H, et al. Anaerolinea thermolimosa sp. nov., Levilinea saccharolytica gen. nov., sp. nov. and Leptolinea tardivitalis gen. nov., sp. nov., novel filamentous anaerobes, and description of the new classes Anaerolineae classis nov. and Caldilineae classis nov. in the bacterial phylum Chloroflexi. Int J Syst Evol Microbiol. 2006
859243;Caldilinea;Caldilinea tarbellica;Caldilinea tarbellica;55;anaerobic;heterotroph;21;GreÃƒÃ…goire P, Bohli M, Cayol JL, Joseph M, Guasco S, Dubourg K, et al. Caldilinea tarbellica sp. nov., a filamentous, thermophilic, anaerobic bacterium isolated from a deep hot aquifer in the Aquitaine Basin. Int J Syst Evol Microbiol. 2011
38322;Thermotoga;Thermotoga elfii;Thermotoga elfii;66;anaerobic;heterotroph;2.8;Ravot G, Magot M, Fardeau ML, Patel B, Prensier G, Egan A, et al. Thermotoga elfii sp. nov., a novel thermophilic bacterium from an African oil-producing well. Int J Syst Bacteriol. 1995
1204385;Litorilinea;Litorilinea aerophila;Litorilinea aerophila;55;aerobic;heterotroph;5;Kale V, BjoÃƒÃ rnsdoÃƒÃ…ttir SH, FriâˆšâˆžjoÃƒÃ…nsson OÃƒÃ…H, PeÃƒÃ…tursdoÃƒÃ…ttir SK, OÃƒÃ…marsdoÃƒÃ…ttir S, Hreggviâˆšâˆžsson GOÃƒÃ…. Litorilinea aerophila gen. nov., sp. nov., an aerobic member of the class Caldilineae, phylum Chloroflexi, isolated from an intertidal hot spring. Int J Syst Evol Microbiol. 2013
552;Erwinia;Erwinia amylovora;Erwinia amylovora;30;facultative;heterotroph;1.24;Billing E. The effect of temperature on the growth of the fireblight pathogen, Erwinia amylovora. J Appl Bacteriol. 1974
46354;Thermoanaerobacter;Thermoanaerobacter wiegelii;Thermoanaerobacter wiegelii;67.5;anaerobic;heterotroph;1.2;Cook GM, Rainey FA, Patel BKC, Morgan HW. Characterization of a new obligately anaerobic thermophile, Thermoanaerobacter wiegelii sp. nov. Int J Syst Bacteriol. 1996
29549;Rhodothermus;Rhodothermus obamensis;Rhodothermus obamensis;80;aerobic;heterotroph;1.5;Sako Y, Takai K, Ishida Y, Uchida A, Katayama Y. Rhodothermus obamensis sp. nov., a modern lineage of extremely thermophilic marine bacteria. Int J Syst Bacteriol. 1996
60454;Porphyrobacter;Porphyrobacter tepidarius;Porphyrobacter tepidarius;42.7;aerobic;heterotroph;1.22;Hanada S, Kawase Y, Hiraishi A, Takaichi S, Matsuura K, Shimada K, et al. Porphyrobacter tepidarius sp. nov., a moderately thermophilic aerobic photosynthetic bacterium isolated from a hot spring. Int J Syst Bacteriol. 1997
69499;Petrotoga;Petrotoga mobilis;Petrotoga mobilis;59;anaerobic;heterotroph;12;Lien T, Madsen M, Rainey FA, Birkeland NK. Petrotoga mobilis sp. nov., from a North Sea oil-production well. Int J Syst Bacteriol. 1998
354246;Melitea;Melitea salexigens;Melitea salexigens;30;aerobic;heterotroph;7.38;Urios L, AgogueÃƒÃ… H, Intertaglia L, Lesongeur F, Lebaron P. Melitea salexigens gen. nov., sp. nov., a gammaproteobacterium from the Mediterranean Sea. Int J Syst Evol Microbiol. 2008
1323370;Caloranaerobacter;Caloranaerobacter ferrireducens;Caloranaerobacter ferrireducens;60;anaerobic;heterotroph;0.92;Zeng X, Zhang Z, Li X, Jebbar M, Alain K, Shao Z. Caloranaerobacter ferrireducens sp. nov., an anaerobic thermophilic iron (III)-reducing bacterium isolated from a deep-sea hydrothermal sulfide deposits. Int J Syst Evol Microbiol. 2015
172049;Thermococcus;Thermococcus sibiricus;Thermococcus sibiricus;78;anaerobic;heterotroph;0.72;Miroshnichenko ML, Hippe H, Stackebrandt E, Kostrikina NA, Chernyh NA, Jeanthon C, et al. Isolation and characterization of Thermococcus sibiricus sp. nov. from a Western Siberia high-temperature oil reservoir. Extremophiles. 2001
455360;Thalassobaculum;Thalassobaculum salexigens;Thalassobaculum salexigens;30;aerobic;heterotroph;3.63;Urios L, Michotey V, Intertaglia L, Lesongeur F, Lebaron P. Thalassobaculum salexigens sp. nov., a new member of the family Rhodospirillaceae from the NW Mediterranean Sea, and emended description of the genus Thalassobaculum. Int J Syst Evol Microbiol. 2010
46632;Picrophilus;Picrophilus oshimae;Picrophilus oshimae;60.1;aerobic;heterotroph;8.5;Schleper C, Puehler G, Holz I, Gambacorta A, Janekovic D, Santarius U, et al. Picrophilus gen. nov., fam. nov.: a novel aerobic, heterotrophic, thermoacidophilic genus and family comprising archaea capable of growth around pH 0. J Bacteriol. 1995
274;Thermus;Thermus thermophilus;Thermus thermophilus;66.9;aerobic;heterotroph;0.29;Oshima T, Imhori K. Description of Thermus thermophilus (Yoshida and Oshima) comb. nov., a nonsporulating thermophilic bacterium from a Japanese thermal spa. Int J Syst Bacteriol. 1974
271;Thermus;Thermus aquaticus;Thermus aquaticus;69.7;aerobic;heterotroph;0.69;Brock TD, Freeze H. Thermus aquaticus gen. n. and sp. n., a nonsporulating extreme thermophile. J Bacteriol. 1969
405212;Alicyclobacillus;Alicyclobacillus acidocaldarius;Alicyclobacillus acidocaldarius;65.1;facultative;heterotroph;0.38;Darland G, Brock TD. Bacillus acidocaldarius sp. nov., an acidophilic thermophilic spore-forming bacterium. J Gen Microbiol. 1971
110500;Pelotomaculum;Pelotomaculum thermopropionicum;Pelotomaculum thermopropionicum;55;anaerobic;heterotroph;10.05;Imachi H, Sekiguchi Y, Kamagata Y, Hanada S, Ohashi A, Harada H. Pelotomaculum thermopropionicum gen. nov., sp. nov., an anaerobic, thermophilic, syntrophic propionate-oxidizing bacterium. Int J Syst Evol Microbiol. 2002
33941;Geobacillus;Geobacillus thermoleovorans;Geobacillus thermoleovorans;65;facultative;heterotroph;0.28;Lee DW, Koh YS, Kim KJ, Kim BC, Choi HJ, Kim DS, et al. Isolation and characterization of a thermophilic lipase from Bacillus thermoleovorans ID-1. FEMS Microbiol Lett. 1999
2325;Thermoanaerobacter;Thermoanaerobacter kivui;Thermoanaerobacter kivui;64;anaerobic;heterotroph;2.32;Leigh JA, Mayer F, Wolfe RS. Acetogenium kivui, a new thermophilic hydrogen-oxidizing acetogenic bacterium. Arch Microbiol. 1981
583357;Thermoanaerobacter;Thermoanaerobacter mathranii;Thermoanaerobacter mathranii;68.9;anaerobic;heterotroph;1.24;Larsen L, Nielsen P, Ahring BK. Thermoanaerobacter mathranii sp. nov., an ethanol-producing, extremely thermophilic anaerobic bacterium from a hot spring in Iceland. Arch Microbiol. 1997
1222016;Caldicellulosiruptor;Caldicellulosiruptor changbaiensis;Caldicellulosiruptor changbaiensis;74.4;anaerobic;heterotroph;1.02;Bing W, Wang H, Zheng B, Zhang F, Zhu G, Feng Y, et al. Caldicellulosiruptor changbaiensis sp. nov., a cellulolytic and hydrogen-producing bacterium from a hot spring. Int J Syst Evol Microbiol. 2015
332168;Halococcus;Halococcus hamelinensis;Halococcus hamelinensis;37;aerobic;heterotroph;14;Goh F, Leuko S, Allen MA, Bowman JP, Kamekura M, Neilan BA, et al. Halococcus hamelinensis sp. nov., a novel halophilic archaeon isolated from stromatolites in Shark Bay, Australia. Int J Syst Evol Microbiol. 2006
29292;Pyrococcus;Pyrococcus abyssi;Pyrococcus abyssi;95.9;anaerobic;heterotroph;0.55;Erauso G, Reysenbach AL, Godfroy A, Meunier JR, Crump B, Partensky F, et al. Pyrococcus abyssi sp. nov., a new hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent. Arch Microbiol. 1993
128;Isosphaera;Isosphaera pallida;Isosphaera pallida;40.6;aerobic;heterotroph;17.35;Giovannoni SJ, Schabtach E, Castenholz RW. Isosphaera pallida, gen. and comb. nov., a gliding, budding eubacterium from hot springs. Arch Microbiol. 1987
184117;Thermoproteus;Thermoproteus uzoniensis;Thermoproteus uzoniensis;86.3;anaerobic;heterotroph;1.95;Bonch-Osmolovskaya EA, Miroshnichenko ML, Kostrikina NA, Chernych NA, Zavarzin GA. Thermoproteus uzoniensis sp. nov., a new extremely thermophilic archaebacterium from Kamchatka continental hot springs. Arch Microbiol. 1990
28049;Acidothermus;Acidothermus cellulolyticus;Acidothermus cellulolyticus;59.4;aerobic;heterotroph;4.6;Mohagheghi A, Grohmann KMMH, Himmel M, Leighton L, Updegraff DM. Isolation and characterization of Acidothermus cellulolyticus gen. nov., sp. nov., a new genus of thermophilic, acidophilic, cellulolytic bacteria. Int J Syst Bacteriol. 1986
86170;Syntrophothermus;Syntrophothermus lipocalidus;Syntrophothermus lipocalidus;55.4;anaerobic;heterotroph;17.86;Sekiguchi Y, Kamagata Y, Nakamura K, Ohashi A, Harada H. Syntrophothermus lipocalidus gen. nov., sp. nov., a novel thermophilic, syntrophic, fatty-acid-oxidizing anaerobe which utilizes isobutyrate. Int J Syst Evol Microbiol. 2000
1741;Thermodesulfobacterium;Thermodesulfobacterium commune;Thermodesulfobacterium commune;69.6;anaerobic;heterotroph;2.31;Zeikus JG, Dawson MA, Thompson TE, Ingvorsen K, Hatchikian EC. Microbial ecology of volcanic sulphidogenesis: isolation and characterization of Thermodesulfobacterium commune gen. nov. and sp. nov. J Gen Microbiol. 1983
177758;Thermotoga;Thermotoga lettingae;Thermotoga lettingae;64.9;anaerobic;heterotroph;3.14;Balk M, Weijma J, Stams AJM. Thermotoga lettingae sp. nov., a novel thermophilic, methanol-degrading bacterium isolated from a thermophilic anaerobic reactor. Int J Syst Evol Microbiol. 2002
33950;Clostridium;Clostridium thermosulfurogenes;Clostridium thermosulfurogenes;59.5;anaerobic;heterotroph;1.78;Schink B, Zeikus J. Clostridium thermosulfurogenes sp. nov., a new thermophile that produces elemental sulphur from thiosulphate. J Gen Microbiol. 1983
179637;Halococcus;Halococcus dombrowskii;Halococcus dombrowskii;37;aerobic;heterotroph;27.5;Stan-Lotter H, Pfaffenhuemer M, Legat A, Busse HJ, Radax C, Gruber C. Halococcus dombrowskii sp. nov., an archaeal isolate from a Permian alpine salt deposit. Int J Syst Evol Microbiol. 2002
490098;Methanobacterium;Methanobacterium flexile;Methanobacterium flexile;35;anaerobic;heterotroph;21.57;Zhu J, Liu X, Dong X. Methanobacterium movens sp. nov. and Methanobacterium flexile sp. nov., isolated from lake sediment. Int J Syst Evol Microbiol. 2011
493461;Methanobacterium;Methanobacterium movens;Methanobacterium movens;35;anaerobic;heterotroph;26.67;Zhu J, Liu X, Dong X. Methanobacterium movens sp. nov. and Methanobacterium flexile sp. nov., isolated from lake sediment. Int J Syst Evol Microbiol. 2011
663;Vibrio;Vibrio alginolyticus;Vibrio alginolyticus;36.1;facultative;heterotroph;0.25;Ulitzur S. Vibrio parahaemolyticus and Vibrio alginolyticus: Short generation-time marine bacteria. Microb Ecol. 1974
182773;Clostridium;Clostridium isatidis;Clostridium isatidis;50.8;anaerobic;heterotroph;0.52;Padden AN, Dillon VM, Edmonds J, Collins MD, Alvarez N, John P. An indigo-reducing moderate thermophile from a woad vat, Clostridium isatidis sp. nov. Int J Syst Bacteriol. 1999
