strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
127382;;Kitasatospora;Kitasatospora aureofaciens;ST022713(HKI), BI 11631;0;Kitasatospora aureofaciens;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15024;DSM 41134, ATCC 10762e, IMRU 3709;Kitasatospora;Kitasatospora aureofaciens;A-377-WI-2158;0;Kitasatospora aureofaciens;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10068;28;10068;;;;;;;;;;;;;;;;;;;;
127383;;Kitasatospora;Kitasatospora aureofaciens;ST030020(HKI);0;Kitasatospora aureofaciens;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15027;DSM 41137, ATCC 10762b, IMRU 3712;Kitasatospora;Kitasatospora aureofaciens;A-377-5-294-4;0;Kitasatospora aureofaciens;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10071;28;10071;;;;;;;;;;;;;;;;;;;;
127384;;Kitasatospora;Kitasatospora aureofaciens;ST030777(HKI);0;Kitasatospora aureofaciens;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15028;DSM 41138, ATCC 10762c, IMRU 3713;Kitasatospora;Kitasatospora aureofaciens;A-377-U290-3;0;Kitasatospora aureofaciens;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10072;28;10072;;;;;;;;;;;;;;;;;;;;
127385;;Kitasatospora;Kitasatospora aureofaciens;ST030803(HKI);0;Kitasatospora aureofaciens;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15029;DSM 41139, ATCC 10762d, IMRU 3714;Kitasatospora;Kitasatospora aureofaciens;A-377-U290-12;0;Kitasatospora aureofaciens;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10073;28;10073;;;;;;;;;;;;;;;;;;;;
127386;;Kitasatospora;Kitasatospora aureofaciens;ST030822(HKI);0;Kitasatospora aureofaciens;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15031;DSM 41142, IMRU 3721;Kitasatospora;Kitasatospora aureofaciens;CM 62;0;Kitasatospora aureofaciens;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10075;28;10075;;;;;;;;;;;;;;;;;;;;
