strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
101550;;Arthrobacter;Arthrobacter sp.;ST021371(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101794;;Arthrobacter;Arthrobacter sp.;ST032311(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101795;;Arthrobacter;Arthrobacter sp.;ST029753(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101878;;Arthrobacter;Arthrobacter sp.;ST025566(HKI), 553/53;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101882;;Arthrobacter;Arthrobacter sp.;ST025577(HKI), 555/70;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;Arthrobacter stackebrandtii;20215;;;TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92);6236;28;6236;;;aerobe;31376;;;arabinose;31376;;;;;;catalase;+;31376;poultry litter;6236;GCA_017876675;66792
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;MEDIUM 72- for trypto casein soja agar;39867;30;39867;;;;;;;L-arabitol;31376;;;;;;pyrazinamidase;+;31376;Poultry litter;67770;GCA_003217635;66792
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;28;67770;;;;;;;asparagine;31376;;;;;;urease;+;31376;;;272161.3;66792
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;cellobiose;31376;;;;;;;;;;;272161.4;66792
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;fructose;31376;;;;;;;;;;;2918386808;66792
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;fucose;31376;;;;;;;;;;;QJVE00000000;67770
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;galactose;31376;;;;;;;;;;;;
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;gelatin;31376;;;;;;;;;;;;
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;glucose;31376;;;;;;;;;;;;
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;glycerol;31376;;;;;;;;;;;;
7612;DSM 16005, CCM 2783, CIP 108701, JCM 14116, IAM 15316, LMG 16145;Arthrobacter;Arthrobacter stackebrandtii;AC 836;1;;;;;;;;;;;;;;;inosine;31376;;;;;;;;;;;;
