strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
160963;JCM 10484, HUT 6624, NBRC 109902;Streptomyces;Streptomyces albus;;0;Streptomyces albus;20215;;;;;37;67770;;;;;;;;;;;;;;;;;Activated sludge;67770;;
162945;JCM 20474, IAM 12315;Streptomyces;Streptomyces albus;;0;Streptomyces albus;20215;;;;;28;67770;;;;;;;;;;;;;;;;;;;;
14943;DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426;Streptomyces;Streptomyces albus subsp. albus;;1;Streptomyces albus;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9451;28;9451;;;;;;;;;;;;;;;;;straw;9451;GCA_000813365;66792
14943;DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426;Streptomyces;Streptomyces albus subsp. albus;;1;;;;;MEDIUM 122 - for Streptomyces;35230;30;35230;;;;;;;;;;;;;;;;;;;1888.3;66792
14943;DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426;Streptomyces;Streptomyces albus subsp. albus;;1;;;;;;;28;67770;;;;;;;;;;;;;;;;;;;2651869737;66792
14943;DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426;Streptomyces;Streptomyces albus subsp. albus;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;BBQG00000000;67770
14943;DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426;Streptomyces;Streptomyces albus subsp. albus;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;JODR00000000;67770
15169;DSM 40327, ATCC 25453, CBS 686.69, ETH 24454, IFO 13041, ISP 5327, KCC S-0476, LCP 373, NBRC 13041, NRRL B-2843, RIA 1233, JCM 4476, BCRC 12068, CGMCC 4.1963, HUT 6615, IMET 43522, NRRL 2960, NRRL B-2465;Streptomyces;Streptomyces albus subsp. albus;;0;Streptomyces albus;20215;10-14 days;19438;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9261;28;9261;ferrioxamine E ;9261;;;;;cellulose;19438;acetoin;0;68368;acetoin;68368;gelatinase;+;68368;;;LIQO00000000;67770
15169;DSM 40327, ATCC 25453, CBS 686.69, ETH 24454, IFO 13041, ISP 5327, KCC S-0476, LCP 373, NBRC 13041, NRRL B-2843, RIA 1233, JCM 4476, BCRC 12068, CGMCC 4.1963, HUT 6615, IMET 43522, NRRL 2960, NRRL B-2465;Streptomyces;Streptomyces albus subsp. albus;;0;;;10-14 days;19438;ISP 2;19438;28;19438;Ferrioxamine E;20216;;;;;raffinose;19438;indole;0;68368;indole;68368;tryptophan deaminase;-;68368;;;;
15169;DSM 40327, ATCC 25453, CBS 686.69, ETH 24454, IFO 13041, ISP 5327, KCC S-0476, LCP 373, NBRC 13041, NRRL B-2843, RIA 1233, JCM 4476, BCRC 12068, CGMCC 4.1963, HUT 6615, IMET 43522, NRRL 2960, NRRL B-2465;Streptomyces;Streptomyces albus subsp. albus;;0;;;10-14 days;19438;ISP 3;19438;28;67770;;;;;;;rhamnose;19438;hydrogen sulfide;1;68368;;;urease;+;68368;;;;
