strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
105707;;Streptomyces;Streptomyces sp.;ST021912(HKI), BI 10918;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15728;DSM 40765, LBG A 3023;Streptomyces;Streptomyces sp.;alte Nr.17;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9781;28;9781;;;;;;;;;;;;;;;;;;;;
105708;;Streptomyces;Streptomyces sp.;ST021914(HKI), BI 10920;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15729;DSM 40766, CBS 115.60, LBG A 3099, ETH 28432, JCM 4960;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9782;28;9782;;;;;;;;;;;;;;;;;soil;9782;;
15729;DSM 40766, CBS 115.60, LBG A 3099, ETH 28432, JCM 4960;Streptomyces;Streptomyces sp.;;0;;;;;;;28;67770;;;;;;;;;;;;;;;;;Soil;67770;;
105709;;Streptomyces;Streptomyces sp.;ST021915(HKI), BI 10921;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15730;DSM 40768, ATCC 12125, LBG A 3050, ETH 24458;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9784;28;9784;etamycin ;9784;;;;;;;;;;;;;;;;;;
105710;;Streptomyces;Streptomyces sp.;ST021918(HKI), BI 10924;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15731;DSM 40770, ATCC 3008, LBG A 3047, ETH 24396;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9786;28;9786;;;;;;;;;;;;;;;;;;;;
105711;;Streptomyces;Streptomyces sp.;ST021919(HKI), BI 10925;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15732;DSM 40776, ATCC 23384, ATCC 3344, ICPB 1011, LBG A 3127;Streptomyces;Streptomyces sp.;3344;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9790;28;9790;;;;;;;;;;;;;;;;;soil;9790;;
105712;;Streptomyces;Streptomyces sp.;ST021924(HKI), BI 10930;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15733;DSM 40781, LBG A 3090, ETH 24311;Streptomyces;Streptomyces sp.;65-24;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9794;28;9794;echinomycin (= levomycin, echanomycin, guinomycin A) ;9794;;;;;;;;;;;;;;;;;;
105713;;Streptomyces;Streptomyces sp.;ST021930(HKI), BI 10936;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15734;DSM 40791, ATCC 13479, IFO 3810, JCM 4970, NBRC 3810, NRRL B-3591;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9798;28;9798;L-delta-hydroxy-gamma-oxo-L norvaline ;9798;;;;;;;;;;;;;;;;;;
105714;;Streptomyces;Streptomyces sp.;ST021934(HKI), BI 10940;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15735;DSM 40793, CCM 260, NRRL B-1672;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9800;28;9800;;;;;;;;;;;;;;;;;;;;
105715;;Streptomyces;Streptomyces sp.;ST021935(HKI), BI 10941;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15736;DSM 40794, NRRL 3419, JCM 4883;Streptomyces;Streptomyces sp.;DS 21647;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9801;28;9801;antibiotic 18631 R ;9801;;;;;;;;;;;;;;;Soil;67770;;
15736;DSM 40794, NRRL 3419, JCM 4883;Streptomyces;Streptomyces sp.;DS 21647;0;;;;;;;28;67770;Antibiotic 18631 RP;67770;;;;;;;;;;;;;;;;;;
105716;;Streptomyces;Streptomyces sp.;ST021936(HKI), BI 10942;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15737;DSM 40798, ATCC 11611, ETH 16699, IFO 3125, KCC S-0118, NBRC 3125, RIA 631, JCM 4118, BCRC 10307, VKM Ac-597;Streptomyces;Streptomyces sp.;AE-415;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9804;28;9804;acidomycin ;9804;;;;;;;mycobacidin;1;67770;;;;;;Soil;67770;;
15737;DSM 40798, ATCC 11611, ETH 16699, IFO 3125, KCC S-0118, NBRC 3125, RIA 631, JCM 4118, BCRC 10307, VKM Ac-597;Streptomyces;Streptomyces sp.;AE-415;0;;;;;;;28;67770;actithiazic acid ;9804;;;;;;;;;;;;;;;;;;
105717;;Streptomyces;Streptomyces sp.;ST021939(HKI), BI 10945;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15738;DSM 40807, ATCC 3369, CBS 190.75, ETH 13077, IFO 12345, IPV 106, JCM 4436, NBRC 12345, IMET 40231, NRRL B-1652, RIA 64;Streptomyces;Streptomyces sp.;AE-400;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9811;28;9811;;;;;;;;;;;;;;;;;;;JNZB00000000;67770
15738;DSM 40807, ATCC 3369, CBS 190.75, ETH 13077, IFO 12345, IPV 106, JCM 4436, NBRC 12345, IMET 40231, NRRL B-1652, RIA 64;Streptomyces;Streptomyces sp.;AE-400;0;;;;;;;28;67770;;;;;;;;;;;;;;;;;;;;
105718;;Streptomyces;Streptomyces sp.;ST021940(HKI), BI 10946;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15739;DSM 40811, ATCC 13853;Streptomyces;Streptomyces sp.;BL-906;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9815;28;9815;streptonigrin ;9815;;;;;;;;;;;;;;;soil;9815;;
105719;;Streptomyces;Streptomyces sp.;ST021941(HKI), BI 10947;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15740;DSM 40812, ATCC 15282, JCM 4961;Streptomyces;Streptomyces sp.;BL-741;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9816;28;9816;antibiotic DX27 ;9816;;;;;;;;;;;;;;;soil;9816;;
15740;DSM 40812, ATCC 15282, JCM 4961;Streptomyces;Streptomyces sp.;BL-741;0;;;;;;;28;67770;Antibiotic DX 27;67770;;;;;;;;;;;;;;;Soil;67770;;
105720;;Streptomyces;Streptomyces sp.;ST021944(HKI), BI 10950;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15741;DSM 40816, ATCC 13180, JCM 4984;Streptomyces;Streptomyces sp.;BD-307;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9820;28;9820;antibiotic PA-1033A ;9820;;;;;;;;;;;;;;;Soil;67770;;
15741;DSM 40816, ATCC 13180, JCM 4984;Streptomyces;Streptomyces sp.;BD-307;0;;;;;;;28;67770;antibiotic PA-1033B ;9820;;;;;;;;;;;;;;;;;;
15741;DSM 40816, ATCC 13180, JCM 4984;Streptomyces;Streptomyces sp.;BD-307;0;;;;;;;;;Antibiotics PA-1033 A and B (PA-133 A and B);67770;;;;;;;;;;;;;;;;;;
105721;;Streptomyces;Streptomyces sp.;ST021945(HKI), BI 10951;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9828;28;9828;doricin ;9828;;;;;;;;;;;;;;;soil;9828;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;;;;;;;28;67770;vernamycin A ;9828;;;;;;;;;;;;;;;Soil;67770;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;;;;;;;;;vernamycin B ;9828;;;;;;;;;;;;;;;;;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;;;;;;;;;vernamycin Bß ;9828;;;;;;;;;;;;;;;;;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;;;;;;;;;vernamycin A, B, Bß ;9828;;;;;;;;;;;;;;;;;;
15742;DSM 40825, ATCC 11415, ETH 28750, IMRU 3662, JCM 4201;Streptomyces;Streptomyces sp.;BC-452;0;;;;;;;;;Vernamycins;67770;;;;;;;;;;;;;;;;;;
105722;;Streptomyces;Streptomyces sp.;ST021946(HKI), BI 10952;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15743;DSM 40826, ATCC 14562, CGMCC AS 4.1389;Streptomyces;Streptomyces sp.;BJ-8;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9829;28;9829;antibiotics ;9829;;;;;;;;;;;;;;;soil;9829;;
105723;;Streptomyces;Streptomyces sp.;ST021949(HKI), BI 10955;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15745;DSM 40837, ATCC 17776, NRRL 3155, JCM 4685;Streptomyces;Streptomyces sp.;MA-959;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9838;28;9838;bottromycin ;9838;;;;;;;;;;;;;;;soil;9838;;
15745;DSM 40837, ATCC 17776, NRRL 3155, JCM 4685;Streptomyces;Streptomyces sp.;MA-959;0;;;;;;;28;67770;Antibiotic 8036 RP (US Pat. 3,658,987;67770;;;;;;;;;;;;;;;Soil;67770;;
105724;;Streptomyces;Streptomyces sp.;ST021950(HKI), BI 10956;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15746;DSM 40842, CBS 108.60, IPV 1540, IPV 693, JCM 4306, KCC S-0306, NRRL B-3894;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9842;28;9842;;;;;;;;;;;;;;;;;;;;
15746;DSM 40842, CBS 108.60, IPV 1540, IPV 693, JCM 4306, KCC S-0306, NRRL B-3894;Streptomyces;Streptomyces sp.;;0;;;;;;;28;67770;;;;;;;;;;;;;;;;;;;;
105725;;Streptomyces;Streptomyces sp.;ST021952(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;Streptomyces sp.;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);9847;28;9847;fervenulin ;9847;;;;;;;fervenulin;1;67770;;;;;;soil;9847;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;28;67770;fungichromin ;9847;;;;;;;fungichromin;1;67770;;;;;;Soil;67770;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;;;prodigiosine ;9847;;;;;;;;;;;;;;;;;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;;;Fervenulin (=Planomycin);20216;;;;;;;;;;;;;;;;;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;;; Fungichromin;20216;;;;;;;;;;;;;;;;;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;;; Prodigiosine;20216;;;;;;;;;;;;;;;;;;
15747;DSM 40848, IMET JA 4495, JCM 4211, KCC S-0211, BCRC 13376, NCB 82, NRRL B-12088;Streptomyces;Streptomyces sp.;;0;;;;;;;;; Pentaenic antibiotic agent;20216;;;;;;;;;;;;;;;;;;
105726;;Streptomyces;Streptomyces sp.;ST021956(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
15748;DSM 40849, JCM 4180, KCC S-0180, ATCC 33161, IFO 13932, NBRC 13932;Streptomyces;Streptomyces sp.;KI S-300;0;Streptomyces sp.;20215;;;STARCH - MINERAL SALT - AGAR (STMS) (DSMZ Medium 252);9848;28;9848;helvoric acid ;9848;;;;;;;;;;;;;;;soil;9848;;
15748;DSM 40849, JCM 4180, KCC S-0180, ATCC 33161, IFO 13932, NBRC 13932;Streptomyces;Streptomyces sp.;KI S-300;0;;;;;;;28;67770;protomycin ;9848;;;;;;;;;;;;;;;;;;
15748;DSM 40849, JCM 4180, KCC S-0180, ATCC 33161, IFO 13932, NBRC 13932;Streptomyces;Streptomyces sp.;KI S-300;0;;;;;;;;;Protomycin;67770;;;;;;;;;;;;;;;;;;
105727;;Streptomyces;Streptomyces sp.;ST021957(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
