strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
117332;;Streptomyces;Streptomyces sp.;ST014274(HKI), BI 03091;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117158;ZIMET 43864;Streptomyces;Streptomyces sp.;ST008120(HKI), 59;0;Streptomyces sp.;20215;;;;;;;Antiphagales Prinzip;20216;;;;;;;;;;;;;;;;;;
117333;;Streptomyces;Streptomyces sp.;ST014275(HKI), BI 03092;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117159;;Streptomyces;Streptomyces sp.;ST008127(HKI), F369;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117334;;Streptomyces;Streptomyces sp.;ST014276(HKI), BI 03093;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117160;;Streptomyces;Streptomyces sp.;ST008128(HKI), F198;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117335;;Streptomyces;Streptomyces sp.;ST014277(HKI), BI 03094;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117161;;Streptomyces;Streptomyces sp.;ST008135(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117336;;Streptomyces;Streptomyces sp.;ST014280(HKI), BI 03097;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117162;;Streptomyces;Streptomyces sp.;ST008138(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117337;;Streptomyces;Streptomyces sp.;ST014281(HKI), BI 03098;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117163;;Streptomyces;Streptomyces sp.;ST008143(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117338;;Streptomyces;Streptomyces sp.;ST014282(HKI), BI 03099;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117164;;Streptomyces;Streptomyces sp.;ST008144(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117339;;Streptomyces;Streptomyces sp.;ST014284(HKI), BI 03101;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117165;;Streptomyces;Streptomyces sp.;ST008145(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117340;;Streptomyces;Streptomyces sp.;ST014289(HKI), BI 03106;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117166;;Streptomyces;Streptomyces sp.;ST008148(HKI);0;Streptomyces sp.;20215;;;;;;;Resistomycin;20216;;;;;;;;;;;;;;;;;;
117167;;Streptomyces;Streptomyces sp.;ST008149(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117168;;Streptomyces;Streptomyces sp.;ST020714(HKI), BI 10036;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117169;;Streptomyces;Streptomyces sp.;ST020715(HKI), BI 10037;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117118;;Streptomyces;Streptomyces sp.;ST008011(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117170;;Streptomyces;Streptomyces sp.;ST020716(HKI), BI 10038;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117119;;Streptomyces;Streptomyces sp.;ST008012(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117171;;Streptomyces;Streptomyces sp.;ST020717(HKI), BI 10039;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117120;;Streptomyces;Streptomyces sp.;ST008015(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117172;;Streptomyces;Streptomyces sp.;ST020718(HKI), BI 10040;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117121;;Streptomyces;Streptomyces sp.;ST008016(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117173;;Streptomyces;Streptomyces sp.;ST020720(HKI), BI 10042;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117122;;Streptomyces;Streptomyces sp.;ST008019(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117174;;Streptomyces;Streptomyces sp.;ST020722(HKI), BI 10044;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117123;;Streptomyces;Streptomyces sp.;ST008020(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117175;;Streptomyces;Streptomyces sp.;ST020725(HKI), BI 10047;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117124;;Streptomyces;Streptomyces sp.;ST008023(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117176;;Streptomyces;Streptomyces sp.;ST020726(HKI), BI 10048;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117125;;Streptomyces;Streptomyces sp.;ST008027(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117177;;Streptomyces;Streptomyces sp.;ST020727(HKI), BI 10049;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117126;;Streptomyces;Streptomyces sp.;ST008028(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117178;;Streptomyces;Streptomyces sp.;ST020728(HKI), BI 10050;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117127;;Streptomyces;Streptomyces sp.;ST008029(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117179;;Streptomyces;Streptomyces sp.;ST020729(HKI), BI 10051;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117128;;Streptomyces;Streptomyces sp.;ST008032(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117180;;Streptomyces;Streptomyces sp.;ST020732(HKI), BI 10054;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117129;;Streptomyces;Streptomyces sp.;ST008033(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117181;;Streptomyces;Streptomyces sp.;ST020733(HKI), BI 10055;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117130;;Streptomyces;Streptomyces sp.;ST008036(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117218;;Streptomyces;Streptomyces sp.;ST014092(HKI), BI 02903;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117131;;Streptomyces;Streptomyces sp.;ST008037(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117219;;Streptomyces;Streptomyces sp.;ST014093(HKI), BI 02904;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117132;;Streptomyces;Streptomyces sp.;ST008043(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117220;;Streptomyces;Streptomyces sp.;ST014094(HKI), BI 02905;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117133;;Streptomyces;Streptomyces sp.;ST008048(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117221;;Streptomyces;Streptomyces sp.;ST014095(HKI), BI 02906;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117134;;Streptomyces;Streptomyces sp.;ST008049(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117222;;Streptomyces;Streptomyces sp.;ST014096(HKI), BI 02907;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117135;;Streptomyces;Streptomyces sp.;ST008054(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117223;;Streptomyces;Streptomyces sp.;ST014099(HKI), BI 02910;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117136;;Streptomyces;Streptomyces sp.;ST008055(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117224;;Streptomyces;Streptomyces sp.;ST014100(HKI), BI 02911;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117137;;Streptomyces;Streptomyces sp.;ST008056(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117225;;Streptomyces;Streptomyces sp.;ST014101(HKI), BI 02912;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117138;;Streptomyces;Streptomyces sp.;ST008060(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117226;;Streptomyces;Streptomyces sp.;ST014102(HKI), BI 02913;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117139;IMET 1492;Streptomyces;Streptomyces sp.;ST008065(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117227;;Streptomyces;Streptomyces sp.;ST014103(HKI), BI 02914;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117140;IMET 1705;Streptomyces;Streptomyces sp.;ST008066(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117228;;Streptomyces;Streptomyces sp.;ST014104(HKI), BI 02916;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117141;IMET 1732;Streptomyces;Streptomyces sp.;ST008067(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117245;;Streptomyces;Streptomyces sp.;ST014126(HKI), BI 02940;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117142;;Streptomyces;Streptomyces sp.;ST008077(HKI), BI 06172;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117310;;Streptomyces;Streptomyces sp.;ST014226(HKI), BI 05674, BI 03042;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117143;;Streptomyces;Streptomyces sp.;ST008078(HKI), BI 06173;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117311;;Streptomyces;Streptomyces sp.;ST014231(HKI), BI 03047;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117144;;Streptomyces;Streptomyces sp.;ST008079(HKI), BI 06174;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117312;;Streptomyces;Streptomyces sp.;ST014233(HKI), BI 03049;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117145;;Streptomyces;Streptomyces sp.;ST008082(HKI), BI 06177;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117313;;Streptomyces;Streptomyces sp.;ST014234(HKI), BI 03050;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117146;;Streptomyces;Streptomyces sp.;ST008083(HKI), BI 06178;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117314;;Streptomyces;Streptomyces sp.;ST014236(HKI), BI 03053;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117147;;Streptomyces;Streptomyces sp.;ST008084(HKI), BI 06179;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
117315;;Streptomyces;Streptomyces sp.;ST014240(HKI), BI 03057;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
