strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
115667;;Streptomyces;Streptomyces sp.;ST012004(HKI), BI 08081;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115579;;Streptomyces;Streptomyces sp.;ST006841(HKI), 4/30;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115668;;Streptomyces;Streptomyces sp.;ST012005(HKI), BI 08082;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115580;;Streptomyces;Streptomyces sp.;ST006842(HKI), 4/31;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115669;;Streptomyces;Streptomyces sp.;ST012006(HKI), BI 08083;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115581;;Streptomyces;Streptomyces sp.;ST006845(HKI), 4/42;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115670;;Streptomyces;Streptomyces sp.;ST012007(HKI), BI 08084;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115582;;Streptomyces;Streptomyces sp.;ST006846(HKI), 4/47;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115671;;Streptomyces;Streptomyces sp.;ST012008(HKI), BI 08085;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115583;;Streptomyces;Streptomyces sp.;ST006849(HKI), 5/27;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115672;;Streptomyces;Streptomyces sp.;ST012012(HKI), BI 08089;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115584;;Streptomyces;Streptomyces sp.;ST006850(HKI), 5/28;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115673;;Streptomyces;Streptomyces sp.;ST012013(HKI), BI 08090;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115585;;Streptomyces;Streptomyces sp.;ST006853(HKI), 6/4;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115674;;Streptomyces;Streptomyces sp.;ST012014(HKI), BI 08091;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115586;;Streptomyces;Streptomyces sp.;ST006854(HKI), 6/6;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115675;;Streptomyces;Streptomyces sp.;ST012015(HKI), BI 08092;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115587;;Streptomyces;Streptomyces sp.;ST006855(HKI), E6/24;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115676;;Streptomyces;Streptomyces sp.;ST012016(HKI), BI 08093;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115588;;Streptomyces;Streptomyces sp.;ST006858(HKI), E6/33;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115677;;Streptomyces;Streptomyces sp.;ST012017(HKI), BI 08094;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115589;;Streptomyces;Streptomyces sp.;ST006859(HKI), E7/3;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
115678;;Streptomyces;Streptomyces sp.;ST012018(HKI), BI 08095;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
