strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
110383;;Streptomyces;Streptomyces sp.;ST012551(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109680;;Streptomyces;Streptomyces sp.;ST029268(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110384;;Streptomyces;Streptomyces sp.;ST012555(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109681;;Streptomyces;Streptomyces sp.;ST029269(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110385;;Streptomyces;Streptomyces sp.;ST012557(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109682;;Streptomyces;Streptomyces sp.;ST029270(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110386;;Streptomyces;Streptomyces sp.;ST012558(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109683;;Streptomyces;Streptomyces sp.;ST029271(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110387;;Streptomyces;Streptomyces sp.;ST012560(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109700;;Streptomyces;Streptomyces sp.;ST033427(HKI), 1254;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110388;;Streptomyces;Streptomyces sp.;ST012561(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110293;;Streptomyces;Streptomyces sp.;ST007415(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110389;;Streptomyces;Streptomyces sp.;ST012563(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110294;;Streptomyces;Streptomyces sp.;ST007416(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110390;;Streptomyces;Streptomyces sp.;ST012565(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110295;;Streptomyces;Streptomyces sp.;ST007417(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110391;;Streptomyces;Streptomyces sp.;ST012570(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110296;;Streptomyces;Streptomyces sp.;ST007418(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110392;;Streptomyces;Streptomyces sp.;ST012571(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110297;;Streptomyces;Streptomyces sp.;ST007419(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110393;;Streptomyces;Streptomyces sp.;ST012572(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110308;;Streptomyces;Streptomyces sp.;ST007433(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110394;;Streptomyces;Streptomyces sp.;ST012575(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110309;;Streptomyces;Streptomyces sp.;ST007434(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110395;;Streptomyces;Streptomyces sp.;ST012578(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110310;;Streptomyces;Streptomyces sp.;ST007435(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110396;;Streptomyces;Streptomyces sp.;ST012580(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110311;;Streptomyces;Streptomyces sp.;ST007436(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110397;;Streptomyces;Streptomyces sp.;ST012581(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110312;;Streptomyces;Streptomyces sp.;ST007437(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110398;;Streptomyces;Streptomyces sp.;ST012583(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110313;;Streptomyces;Streptomyces sp.;ST007438(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110399;;Streptomyces;Streptomyces sp.;ST012584(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110314;;Streptomyces;Streptomyces sp.;ST007439(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
110400;;Streptomyces;Streptomyces sp.;ST012586(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
