strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
161015;JCM 10648, ATCC 43269, BCRC 16818, DSM 43930, NBRC 104149, NRRL 15878;Actinomadura;Actinomadura oligospora;;1;Actinomadura oligospora;20215;;;;;28;67770;Polyene antibiotic A80190 (US Pat. 4,683,201);67770;;;;;;;;;;;;;;;Soil;67770;GCA_000518265;66792
161015;JCM 10648, ATCC 43269, BCRC 16818, DSM 43930, NBRC 104149, NRRL 15878;Actinomadura;Actinomadura oligospora;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1399798.3;66792
161015;JCM 10648, ATCC 43269, BCRC 16818, DSM 43930, NBRC 104149, NRRL 15878;Actinomadura;Actinomadura oligospora;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2540341222;66792
161015;JCM 10648, ATCC 43269, BCRC 16818, DSM 43930, NBRC 104149, NRRL 15878;Actinomadura;Actinomadura oligospora;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;JADG00000000;67770
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;Actinomadura oligospora;20215;10-14 days;19984;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);11277;28;11277;Portmicin;19984;;;;;glucose;19984;acetoin;1;68368;acetoin;68368;gelatinase;-;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;10-14 days;19984;ISP 2;19984;28;19984;;;;;;;arabinose;19984;indole;0;68368;indole;68368;tryptophan deaminase;-;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;10-14 days;19984;ISP 3;19984;;;;;;;;;sucrose;19984;hydrogen sulfide;0;68368;;;urease;+;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;10-14 days;19984;ISP 4;19984;;;;;;;;;xylose;19984;;;;;;ornithine decarboxylase;+;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;10-14 days;19984;ISP 5;19984;;;;;;;;;myo-inositol;19984;;;;;;lysine decarboxylase;+;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;10-14 days;19984;ISP 6;19984;;;;;;;;;mannitol;19984;;;;;;arginine dihydrolase;+;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;ISP 7;19984;;;;;;;;;fructose;19984;;;;;;beta-galactosidase;-;68368;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;rhamnose;19984;;;;;;alkaline phosphatase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;raffinose;19984;;;;;;esterase (C 4);-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;cellulose;19984;;;;;;esterase lipase (C 8);+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;gelatin;68368;;;;;;lipase (C 14);+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;tryptophan;68368;;;;;;leucine arylamidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;urea;68368;;;;;;valine arylamidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;citrate;68368;;;;;;cystine arylamidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;ornithine;68368;;;;;;trypsin;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;lysine;68368;;;;;;alpha-chymotrypsin;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;arginine;68368;;;;;;acid phosphatase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;naphthol-AS-BI-phosphohydrolase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;alpha-galactosidase;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;beta-galactosidase;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;beta-glucuronidase;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;alpha-glucosidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;beta-glucosidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;N-acetyl-beta-glucosaminidase;+;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;alpha-mannosidase;-;68382;;;;
16973;DSM 43928, NRRL B-16216;Actinomadura;Actinomadura oligospora;;0;;;;;;;;;;;;;;;;;;;;;;alpha-fucosidase;-;68382;;;;
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;Actinomadura pelletieri;20215;;;MEDIUM 57 - for Streptomyces, Nocardioides, Lentzea albidocapillata and Streptoverticillium reticulum;39301;28;18490;;;;;;;glucose;18490;acetoin;1;68368;acetoin;68368;gelatinase;-;68368;mycetoma of arm;11000;GCA_003634705;66792
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;;;;;N-Z-AMINE-MEDIUM (DSMZ Medium 554);11000;30;39301;;;;;;;arabinose;18490;indole;0;68368;indole;68368;tryptophan deaminase;-;68368;Mycetoma of arm;54533;1120940.3;66792
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;;;;;;;28;11000;;;;;;;sucrose;18490;hydrogen sulfide;0;68368;;;urease;+;68368;Mycetoma of the arm;67770;2728369498;66792
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;;;;;;;28;67770;;;;;;;xylose;18490;;;;;;ornithine decarboxylase;+;68368;;;RBWU00000000;67770
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;;;;;;;;;;;;;;;myo-inositol;18490;;;;;;lysine decarboxylase;+;68368;;;;
16950;DSM 43383, ATCC 33385, JCM 3388, NCTC 4162, CCUG 38891, CIP 105483, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, KCTC 9110, NBRC 103052, NRRL B-3997;Actinomadura;Actinomadura pelletieri;A19;1;;;;;;;;;;;;;;;mannitol;18490;;;;;;arginine dihydrolase;+;68368;;;;
