strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
137624;CIP 101873;Corynebacterium;Corynebacterium ammoniagenes;;0;Corynebacterium ammoniagenes;20215;;;MEDIUM 6 - Columbia agar with 10 % horse blood;38439;37;38439;;;;;;;;;;;;;;;;;;38439;;
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;Corynebacterium amycolatum;20215;10-14 days;20198;TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92);2888;28;20198;;;;;;;glucose;20198;acetoin;1;68368;acetoin;68368;alpha-fucosidase;-;68382;human skin;2888;GCA_016728725;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;10-14 days;20198;COLUMBIA BLOOD MEDIUM (DSMZ Medium 693);2888;37;2888;;;;;;;arabinose;20198;indole;0;68368;indole;68368;alpha-mannosidase;-;68382;Human cutaneous;52916;GCA_016889425;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;10-14 days;20198;ISP 2;20198;37;34280;;;;;;;sucrose;20198;hydrogen sulfide;0;68368;;;N-acetyl-beta-glucosaminidase;-;68382;Human skin;67770;GCA_016127615;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;10-14 days;20198;ISP 4;20198;30;67770;;;;;;;xylose;20198;;;;;;beta-glucosidase;-;68382;;;GCA_016026415;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;10-14 days;20198;ISP 5;20198;;;;;;;;;myo-inositol;20198;;;;;;alpha-glucosidase;-;68382;;;GCA_016728745;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;ISP 6;20198;;;;;;;;;mannitol;20198;;;;;;beta-glucuronidase;-;68382;;;GCA_014335175;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;ISP 7;20198;;;;;;;;;fructose;20198;;;;;;beta-galactosidase;-;68382;;;GCA_900461385;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;MEDIUM 3 - Columbia agar;34280;;;;;;;;;rhamnose;20198;;;;;;alpha-galactosidase;-;68382;;;GCA_002847785;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;raffinose;20198;;;;;;naphthol-AS-BI-phosphohydrolase;+;68382;;;GCA_018919345;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;cellulose;20198;;;;;;acid phosphatase;+;68382;;;GCA_001722255;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;sucrose;68379;;;;;;alpha-chymotrypsin;-;68382;;;GCA_020161895;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;maltose;68379;;;;;;trypsin;-;68382;;;GCA_008368695;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;D-glucose;68379;;;;;;cystine arylamidase;-;68382;;;GCA_002861405;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;gelatin;68379;;;;;;valine arylamidase;-;68382;;;GCA_008726785;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;urea;68379;;;;;;leucine arylamidase;+;68382;;;GCA_008726645;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;esculin;68379;;;;;;lipase (C 14);+;68382;;;GCA_008726175;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;L-arabinose;68368;;;;;;esterase lipase (C 8);+;68382;;;GCA_008726215;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;amygdalin;68368;;;;;;esterase (C 4);+;68382;;;GCA_008726455;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;melibiose;68368;;;;;;alkaline phosphatase;+;68382;;;GCA_001975925;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;sucrose;68368;;;;;;catalase;+;68379;;;GCA_020741655;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;L-rhamnose;68368;;;;;;gelatinase;-;68379;;;43765.128;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;sorbitol;68368;;;;;;urease;+;68379;;;43765.54;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;myo-inositol;68368;;;;;;beta-glucosidase;-;68379;;;43765.8;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;D-mannitol;68368;;;;;;N-acetyl-beta-glucosaminidase;-;68379;;;43765.9;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;D-glucose;68368;;;;;;alpha-glucosidase;-;68379;;;43765.79;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;gelatin;68368;;;;;;beta-galactosidase;-;68379;;;43765.18;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;tryptophan;68368;;;;;;beta-glucuronidase;-;68379;;;43765.16;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;urea;68368;;;;;;alkaline phosphatase;+;68379;;;43765.17;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;citrate;68368;;;;;;pyrrolidonyl arylamidase;-;68379;;;43765.59;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;ornithine;68368;;;;;;pyrazinamidase;-;68379;;;43765.58;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;lysine;68368;;;;;;gelatinase;-;68368;;;43765.162;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;arginine;68368;;;;;;tryptophan deaminase;-;68368;;;43765.57;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;urease;+;68368;;;43765.56;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;ornithine decarboxylase;-;68368;;;43765.55;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;lysine decarboxylase;-;68368;;;2773857984;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;arginine dihydrolase;-;68368;;;2811995216;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;beta-galactosidase;-;68368;;;2811995217;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2811995225;66792
3134;DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130;Corynebacterium;Corynebacterium amycolatum;S160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2617270851;66792
139177;CIP 100836, ATCC 700206;Corynebacterium;Corynebacterium amycolatum;;0;Corynebacterium amycolatum;20215;;;MEDIUM 3 - Columbia agar;41261;37;41261;;;;;;;;;;;;;;;;;;41261;;
155980;CCUG 59875;Corynebacterium;Corynebacterium amycolatum;;0;Corynebacterium amycolatum;20215;;;;;37;62147;;;microaerophile;62147;;;glycogen;68379;;;;;;catalase;+;68379;Human wound,64-yr-old man;62147;;
155980;CCUG 59875;Corynebacterium;Corynebacterium amycolatum;;0;;;;;;;;;;;;;;;sucrose;68379;;;;;;gelatinase;-;68379;;;;
155980;CCUG 59875;Corynebacterium;Corynebacterium amycolatum;;0;;;;;;;;;;;;;;;lactose;68379;;;;;;urease;-;68379;;;;
155980;CCUG 59875;Corynebacterium;Corynebacterium amycolatum;;0;;;;;;;;;;;;;;;maltose;68379;;;;;;beta-glucosidase;+;68379;;;;
