strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
14851;DSM 41650, ATCC 51237, IFO 13803, NBRC 13803, JCM 8798, ATCC 29755, CGMCC 4.1663, IAM 15163, KACC 20223, KCTC 9699, MTCC 703;Kitasatospora;Kitasatospora azatica;;1;Kitasatospora azatica;20215;;;ROLLED OATS MINERAL MEDIUM (DSMZ Medium 84);10427;28;10427;alazopeptin ;10427;;;;;;;alazopeptin;1;67770;;;;;;soil;10427;GCA_000744785;66792
14851;DSM 41650, ATCC 51237, IFO 13803, NBRC 13803, JCM 8798, ATCC 29755, CGMCC 4.1663, IAM 15163, KACC 20223, KCTC 9699, MTCC 703;Kitasatospora;Kitasatospora azatica;;1;;;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10427;28;67770;Alazopeptin;20216;;;;;;;;;;;;;;;Soil;67770;1449346.3;66792
14851;DSM 41650, ATCC 51237, IFO 13803, NBRC 13803, JCM 8798, ATCC 29755, CGMCC 4.1663, IAM 15163, KACC 20223, KCTC 9699, MTCC 703;Kitasatospora;Kitasatospora azatica;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2574179793;66792
14851;DSM 41650, ATCC 51237, IFO 13803, NBRC 13803, JCM 8798, ATCC 29755, CGMCC 4.1663, IAM 15163, KACC 20223, KCTC 9699, MTCC 703;Kitasatospora;Kitasatospora azatica;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;JQMO00000000;67770
128543;;Kitasatospora;Kitasatospora azatica;ST033416(HKI);0;Kitasatospora azatica;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
128544;;Kitasatospora;Kitasatospora azatica;SF001593(FSU);0;Kitasatospora azatica;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
128545;;Kitasatospora;Kitasatospora azatica;SF002407(FSU);0;Kitasatospora azatica;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
131135;DSM 101999, KCTC 2395, JCM 21757, IAM 15307;Kitasatospora;Kitasatospora cheerisanensis;YC 75;1;Kitasatospora cheerisanensis;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);22427;28;22427;;;;;;;;;;;;;;;;;soil humus sample;22427;GCA_000696185;66792
131135;DSM 101999, KCTC 2395, JCM 21757, IAM 15307;Kitasatospora;Kitasatospora cheerisanensis;YC 75;1;;;;;;;28;67770;;;;;;;;;;;;;;;;;Soil humus sample at Cheerisan Mountain;67770;1348663.4;66792
131135;DSM 101999, KCTC 2395, JCM 21757, IAM 15307;Kitasatospora;Kitasatospora cheerisanensis;YC 75;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2576861491;66792
131135;DSM 101999, KCTC 2395, JCM 21757, IAM 15307;Kitasatospora;Kitasatospora cheerisanensis;YC 75;1;;;;;;;;;;;;;;;;;;;;;;;;;;;JNBY00000000;67770
14858;DSM 44780, CIP 107255, IFO 16452, JCM 10915, KCTC 19932, NBRC 16452, NRRL B-23134, BCRC 16811, IAM 15157, NCIMB 14261, NRRL B-24134;Kitasatospora;Kitasatospora cineracea;SK-3255;1;Kitasatospora cineracea;20215;;;STARCH - MINERAL SALT - AGAR (STMS) (DSMZ Medium 252);12085;28;12085;;;;;;;;;;;;;;;;;soil;12085;GCA_003751605;66792
14858;DSM 44780, CIP 107255, IFO 16452, JCM 10915, KCTC 19932, NBRC 16452, NRRL B-23134, BCRC 16811, IAM 15157, NCIMB 14261, NRRL B-24134;Kitasatospora;Kitasatospora cineracea;SK-3255;1;;;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);12085;30;40702;;;;;;;;;;;;;;;;;Soil;67770;88074.3;66792
14858;DSM 44780, CIP 107255, IFO 16452, JCM 10915, KCTC 19932, NBRC 16452, NRRL B-23134, BCRC 16811, IAM 15157, NCIMB 14261, NRRL B-24134;Kitasatospora;Kitasatospora cineracea;SK-3255;1;;;;;MEDIUM 275 - for Actinomadura rugatobispora and Actinomadura verrucosospora;40702;28;67770;;;;;;;;;;;;;;;;;;;2781126035;66792
14858;DSM 44780, CIP 107255, IFO 16452, JCM 10915, KCTC 19932, NBRC 16452, NRRL B-23134, BCRC 16811, IAM 15157, NCIMB 14261, NRRL B-24134;Kitasatospora;Kitasatospora cineracea;SK-3255;1;;;;;ROLLED OATS MINERAL MEDIUM (DSMZ Medium 84);12085;;;;;;;;;;;;;;;;;;;;;RJVJ00000000;67770
14858;DSM 44780, CIP 107255, IFO 16452, JCM 10915, KCTC 19932, NBRC 16452, NRRL B-23134, BCRC 16811, IAM 15157, NCIMB 14261, NRRL B-24134;Kitasatospora;Kitasatospora cineracea;SK-3255;1;;;;;ISP2 MEDIUM (DSMZ Medium 987);12085;;;;;;;;;;;;;;;;;;;;;;
128547;NCIB 9595;Kitasatospora;Kitasatospora cineracea;STI40628(IMET), IPV555x;0;Kitasatospora cineracea;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
14852;DSM 41652, ATCC 51235, IFO 14768, JCM 8799, NBRC 14768, BCRC 16813, CGMCC 4.1614, IAM 15158, KACC 20229, KCTC 9898, VKM Ac-2515;Kitasatospora;Kitasatospora cinereorecta;;1;Kitasatospora cochleata;20215;;;GYM STREPTOMYCES MEDIUM (DSMZ Medium 65);10429;28;10429;;;;;;;;;;;;;;;;;soil;10429;;
14852;DSM 41652, ATCC 51235, IFO 14768, JCM 8799, NBRC 14768, BCRC 16813, CGMCC 4.1614, IAM 15158, KACC 20229, KCTC 9898, VKM Ac-2515;Kitasatospora;Kitasatospora cinereorecta;;1;;;;;ROLLED OATS MINERAL MEDIUM (DSMZ Medium 84);10429;28;67770;;;;;;;;;;;;;;;;;Soil;67770;;
128546;;Kitasatospora;Kitasatospora cinereorecta;ST033417(HKI);0;Kitasatospora cinereorecta;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
