strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
101473;;Arthrobacter;Arthrobacter sp.;ST024616(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101140;;Arthrobacter;Arthrobacter sp.;ST022975(HKI), GT19991090;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101474;;Arthrobacter;Arthrobacter sp.;ST024619(HKI), 271/55;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101141;;Arthrobacter;Arthrobacter sp.;ST022976(HKI), GT19991091;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101612;;Arthrobacter;Arthrobacter sp.;ST026088(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101142;;Arthrobacter;Arthrobacter sp.;ST022981(HKI), GT19991096;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101613;;Arthrobacter;Arthrobacter sp.;ST026091(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101159;;Arthrobacter;Arthrobacter sp.;ST023023(HKI), GT19991156;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101614;;Arthrobacter;Arthrobacter sp.;ST026119(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101426;;Arthrobacter;Arthrobacter sp.;ST024480(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101623;;Arthrobacter;Arthrobacter sp.;ST023113(HKI), GT19991240;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101427;;Arthrobacter;Arthrobacter sp.;ST024481(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101624;;Arthrobacter;Arthrobacter sp.;ST023117(HKI), GT19991244;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101428;;Arthrobacter;Arthrobacter sp.;ST024484(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101625;;Arthrobacter;Arthrobacter sp.;ST023120(HKI), GT19991247;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101429;;Arthrobacter;Arthrobacter sp.;ST024485(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101626;;Arthrobacter;Arthrobacter sp.;ST023123(HKI), GT19991250;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101430;;Arthrobacter;Arthrobacter sp.;ST024486(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101627;;Arthrobacter;Arthrobacter sp.;ST023124(HKI), GT19991251;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101431;;Arthrobacter;Arthrobacter sp.;ST024489(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101628;;Arthrobacter;Arthrobacter sp.;ST023129(HKI), GT19991257;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101432;;Arthrobacter;Arthrobacter sp.;ST024490(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101629;;Arthrobacter;Arthrobacter sp.;ST023130(HKI), GT19991262;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101433;;Arthrobacter;Arthrobacter sp.;ST024493(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101630;;Arthrobacter;Arthrobacter sp.;ST023131(HKI), GT19991263;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101434;;Arthrobacter;Arthrobacter sp.;ST024496(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101631;;Arthrobacter;Arthrobacter sp.;ST023132(HKI), GT19991264;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101435;;Arthrobacter;Arthrobacter sp.;ST024499(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101632;;Arthrobacter;Arthrobacter sp.;ST023136(HKI), GT19991268;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101436;;Arthrobacter;Arthrobacter sp.;ST024500(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101633;;Arthrobacter;Arthrobacter sp.;ST023137(HKI), GT19991270;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101437;;Arthrobacter;Arthrobacter sp.;ST024505(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101634;;Arthrobacter;Arthrobacter sp.;ST023142(HKI), GT19991275;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101438;;Arthrobacter;Arthrobacter sp.;ST024506(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101635;;Arthrobacter;Arthrobacter sp.;ST023143(HKI), GT19991276;0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
101439;;Arthrobacter;Arthrobacter sp.;ST024507(HKI);0;Arthrobacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
