strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
18663;;Myxococcus;Myxococcus xanthus;Mx x138;0;Myxococcus xanthus;20215;;;COLE AGAR;18281;;;;;;;;;;;;;;;;;;;rotting faeces and plant material with little soil;18281;;
18663;;Myxococcus;Myxococcus xanthus;Mx x138;0;;;;;TOLI AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
10033;DSM 52413;Myxococcus;Myxococcus xanthus;Mx x56;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14098;28;14098;;;;;;;;;;;;;;;;;soil;14098;;
18664;;Myxococcus;Myxococcus xanthus;Mx x139;0;Myxococcus xanthus;20215;;;COLE AGAR;18281;;;;;;;;;;;;;;;;;;;soil with plant residues;18281;;
18664;;Myxococcus;Myxococcus xanthus;Mx x139;0;;;;;VY/2 AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
10034;DSM 52414;Myxococcus;Myxococcus xanthus;Mx x57;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14099;28;14099;;;;;;;;;;;;;;;;;soil;14099;;
21500;;Myxococcus;Myxococcus xanthus;Mx x13;0;Myxococcus xanthus;20215;;;;;;;;;;;;;;;;;;;;;;;faeces of sheep with little soil and plant residues;18281;;
10035;DSM 52415;Myxococcus;Myxococcus xanthus;Mx x58;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14100;28;14100;;;;;;;;;;;;;;;;;soil with straw;14100;;
21509;;Myxococcus;Myxococcus xanthus;Mx x60;0;Myxococcus xanthus;20215;;;;;;;;;;;;;;;;;;;;;;;soil;18281;;
10036;DSM 52416;Myxococcus;Myxococcus xanthus;Mx x61;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14101;28;14101;;;;;;;;;;;;;;;;;soil;14101;;
21516;;Myxococcus;Myxococcus xanthus;Mx x90;0;Myxococcus xanthus;20215;;;VY/2 AGAR;18281;;;;;;;;;;;;;;;;;;;faeces of goat;18281;;
10037;DSM 52417;Myxococcus;Myxococcus xanthus;Mx x62;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14102;28;14102;;;;;;;;;;;;;;;;;soil;14102;;
21517;;Myxococcus;Myxococcus xanthus;Mx x99;0;Myxococcus xanthus;20215;;;COLE AGAR;18281;;;;;;;;;;;;;;;;;;;rotting peel of cocoa bean with little soil;18281;;
21517;;Myxococcus;Myxococcus xanthus;Mx x99;0;;;;;CY-AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
21517;;Myxococcus;Myxococcus xanthus;Mx x99;0;;;;;VY/2 AGAR;18281;;;;;;;;;;;;;;;;;;;;;;
10038;DSM 52418;Myxococcus;Myxococcus xanthus;Mx x63;0;Myxococcus xanthus;20215;;;VY/2 AGAR (DSMZ Medium 9);14103;28;14103;;;;;;;;;;;;;;;;;soil;14103;;
