strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
108620;;Streptomyces;Streptomyces sp.;ST029778(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109330;;Streptomyces;Streptomyces sp.;ST029089(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108621;;Streptomyces;Streptomyces sp.;ST029779(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109331;;Streptomyces;Streptomyces sp.;ST029090(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108622;;Streptomyces;Streptomyces sp.;ST029785(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109332;;Streptomyces;Streptomyces sp.;ST029092(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108623;;Streptomyces;Streptomyces sp.;ST029786(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109333;;Streptomyces;Streptomyces sp.;ST029094(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108624;;Streptomyces;Streptomyces sp.;ST029790(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109334;;Streptomyces;Streptomyces sp.;ST029096(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108625;;Streptomyces;Streptomyces sp.;ST029793(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109335;;Streptomyces;Streptomyces sp.;ST029097(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108626;;Streptomyces;Streptomyces sp.;ST029797(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109336;;Streptomyces;Streptomyces sp.;ST029099(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108627;;Streptomyces;Streptomyces sp.;ST029798(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109337;;Streptomyces;Streptomyces sp.;ST029102(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108628;;Streptomyces;Streptomyces sp.;ST029799(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109338;;Streptomyces;Streptomyces sp.;ST029104(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108629;;Streptomyces;Streptomyces sp.;ST029801(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109339;;Streptomyces;Streptomyces sp.;ST029105(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108630;;Streptomyces;Streptomyces sp.;ST029803(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109340;;Streptomyces;Streptomyces sp.;ST029106(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108631;;Streptomyces;Streptomyces sp.;ST029806(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109341;;Streptomyces;Streptomyces sp.;ST029110(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108632;;Streptomyces;Streptomyces sp.;ST029807(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109358;;Streptomyces;Streptomyces sp.;ST029151(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108633;;Streptomyces;Streptomyces sp.;ST029808(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109359;;Streptomyces;Streptomyces sp.;ST029152(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108634;;Streptomyces;Streptomyces sp.;ST029809(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108635;;Streptomyces;Streptomyces sp.;ST029810(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108636;;Streptomyces;Streptomyces sp.;ST029811(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108637;;Streptomyces;Streptomyces sp.;ST029812(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108586;;Streptomyces;Streptomyces sp.;ST028940(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108638;;Streptomyces;Streptomyces sp.;ST029813(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108587;;Streptomyces;Streptomyces sp.;ST028942(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108639;;Streptomyces;Streptomyces sp.;ST029814(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108588;;Streptomyces;Streptomyces sp.;ST028943(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108640;;Streptomyces;Streptomyces sp.;ST029815(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108589;;Streptomyces;Streptomyces sp.;ST028947(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108641;;Streptomyces;Streptomyces sp.;ST029816(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108590;;Streptomyces;Streptomyces sp.;ST028948(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108642;;Streptomyces;Streptomyces sp.;ST029817(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108591;;Streptomyces;Streptomyces sp.;ST028951(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108643;;Streptomyces;Streptomyces sp.;ST029818(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108592;IMET 07628;Streptomyces;Streptomyces sp.;ST032220(HKI), Tb227;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108644;;Streptomyces;Streptomyces sp.;ST029819(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108593;;Streptomyces;Streptomyces sp.;ST032284(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108645;;Streptomyces;Streptomyces sp.;ST029820(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108594;;Streptomyces;Streptomyces sp.;ST032292(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108646;;Streptomyces;Streptomyces sp.;ST029822(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108595;;Streptomyces;Streptomyces sp.;ST032296(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108647;;Streptomyces;Streptomyces sp.;ST029823(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108596;;Streptomyces;Streptomyces sp.;ST032297(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108648;;Streptomyces;Streptomyces sp.;ST029825(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108597;;Streptomyces;Streptomyces sp.;ST032299(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108649;;Streptomyces;Streptomyces sp.;ST029827(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108598;;Streptomyces;Streptomyces sp.;ST032300(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109308;;Streptomyces;Streptomyces sp.;ST029037(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108599;;Streptomyces;Streptomyces sp.;ST032301(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109309;;Streptomyces;Streptomyces sp.;ST029038(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108600;;Streptomyces;Streptomyces sp.;ST032302(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109310;;Streptomyces;Streptomyces sp.;ST029039(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108601;;Streptomyces;Streptomyces sp.;ST032303(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109311;;Streptomyces;Streptomyces sp.;ST029041(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108602;;Streptomyces;Streptomyces sp.;ST032304(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109312;;Streptomyces;Streptomyces sp.;ST029044(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
108603;;Streptomyces;Streptomyces sp.;ST032305(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
109313;;Streptomyces;Streptomyces sp.;ST029045(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
