strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
148718;CCUG 35849;Streptococcus;Streptococcus mitis;;0;Streptococcus mitis;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;Streptococcus mitis;20215;;;;;;;;;;;;;arginine;68381;acetoin;0;68381;acetoin;68381;urease;-;68381;Human dental plaque;48921;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-ribose;68381;;;;;;beta-mannosidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-mannitol;68381;;;;;;glycyl tryptophan arylamidase;+;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;sorbitol;68381;;;;;;N-acetyl-beta-glucosaminidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;lactose;68381;;;;;;pyrrolidonyl arylamidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;trehalose;68381;;;;;;beta-galactosidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;raffinose;68381;;;;;;Alanyl-Phenylalanyl-Proline arylamidase;+;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;sucrose;68381;;;;;;alkaline phosphatase;+;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;L-arabinose;68381;;;;;;alpha-galactosidase;+;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-arabitol;68381;;;;;;beta-glucuronidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;alpha-cyclodextrin;68381;;;;;;beta-glucosidase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;hippurate;68381;;;;;;arginine dihydrolase;-;68381;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;glycogen;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;pullulan;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;maltose;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;melibiose;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;melezitose;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;methyl beta-D-glucopyranoside;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-tagatose;68381;;;;;;;;;;;;
145140;CCUG 27741, LMG 14555;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;urea;68381;;;;;;;;;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;Streptococcus mitis;20215;;;;;;;;;;;;;arginine;68381;acetoin;0;68381;acetoin;68381;urease;-;68381;Human blood;53290;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-ribose;68381;;;;;;beta-mannosidase;-;68381;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;D-mannitol;68381;;;;;;glycyl tryptophan arylamidase;+;68381;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;sorbitol;68381;;;;;;N-acetyl-beta-glucosaminidase;-;68381;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;lactose;68381;;;;;;pyrrolidonyl arylamidase;-;68381;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;trehalose;68381;;;;;;beta-galactosidase;+;68381;;;;
148956;CCUG 36639;Streptococcus;Streptococcus mitis;;0;;;;;;;;;;;;;;;raffinose;68381;;;;;;Alanyl-Phenylalanyl-Proline arylamidase;+;68381;;;;
