strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
107919;;Streptomyces;Streptomyces sp.;ST021242(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
106094;;Streptomyces;Streptomyces sp.;ST026694(HKI), GT20044238;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
107920;;Streptomyces;Streptomyces sp.;ST021245(HKI);0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
106095;;Streptomyces;Streptomyces sp.;ST026698(HKI), GT20044242;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
107921;;Streptomyces;Streptomyces sp.;ST022112(HKI), BI 11123;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
106096;;Streptomyces;Streptomyces sp.;ST026700(HKI), GT20044243;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
107922;;Streptomyces;Streptomyces sp.;ST022113(HKI), BI 11124;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
106097;;Streptomyces;Streptomyces sp.;ST026701(HKI), GT20044244;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
107923;;Streptomyces;Streptomyces sp.;ST022114(HKI), BI 11125;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
106098;;Streptomyces;Streptomyces sp.;ST026702(HKI), GT20044245;0;Streptomyces sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
