strains.ID_strains;strains.Culture collection no.;strains.Genus;strains.Species;strains.Strain Designation;strains.Type strain;strains_tax_PNU.Species;strains_tax_PNU.ID_reference;colony_morphology.Incubation period;colony_morphology.ID_reference;culture_medium.Culture medium;culture_medium.ID_reference;culture_temp.Temperature;culture_temp.ID_reference;compound_production.Name of produced compound;compound_production.ID_reference;oxygen_tolerance.Oxygen tolerance;oxygen_tolerance.ID_reference;nutrition_type.Nutrition type;nutrition_type.ID_reference;met_util.Metabolite;met_util.ID_reference;met_production.Metabolite;met_production.Production;met_production.ID_reference;met_test.Metabolite;met_test.ID_reference;enzymes.Enzyme;enzymes.Enzyme activity;enzymes.ID_reference;origin.Sample type/isolated from;origin.ID_reference;sequence_genomes.Seq. accession number;sequence_genomes.ID_reference
100945;;Clavibacter;Clavibacter sp.;ST023727(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
100946;;Clavibacter;Clavibacter sp.;ST023729(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
100947;;Clavibacter;Clavibacter sp.;ST023736(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
100948;;Clavibacter;Clavibacter sp.;ST023739(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
100953;;Clavibacter;Clavibacter sp.;ST026684(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
100959;;Clavibacter;Clavibacter sp.;ST026784(HKI);0;Clavibacter sp.;20215;;;;;;;;;;;;;;;;;;;;;;;;;;
157320;IMI 379940;Clavibacter;Clavibacter sp.;;0;Clavibacter sp.;20215;;;Nutrient Agar (NA);63865;23;63865;;;;;;;;;;;;;;;;;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;Clavibacter sp.;20215;;;;;;;;;;;;;glycogen;68379;;;;;;catalase;+;68379;;49301;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;sucrose;68379;;;;;;gelatinase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;lactose;68379;;;;;;urease;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;maltose;68379;;;;;;beta-glucosidase;+;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;D-mannitol;68379;;;;;;N-acetyl-beta-glucosaminidase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;D-xylose;68379;;;;;;alpha-glucosidase;+;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;D-ribose;68379;;;;;;beta-galactosidase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;D-glucose;68379;;;;;;beta-glucuronidase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;gelatin;68379;;;;;;alkaline phosphatase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;urea;68379;;;;;;pyrrolidonyl arylamidase;-;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;esculin;68379;;;;;;pyrazinamidase;+;68379;;;;
145464;CCUG 28601;Clavibacter;Clavibacter sp.;;0;;;;;;;;;;;;;;;nitrate;68379;;;;;;;;;;;;
