key;GCA;GCF;larger
2130;5444;5256;GCA
2131;3618;3612;GCA
2132;4074;4140;GCF
2133;3381;3156;GCA
2134;4372;4313;GCA
2135;3883;3849;GCA
2136;4221;4314;GCF
2137;3710;3674;GCA
2138;4420;4253;GCA
2139;6152;5778;GCA
2140;5435;5057;GCA
2141;4612;4399;GCA
2142;5056;5191;GCF
2143;3435;3384;GCA
2144;3023;2983;GCA
2145;12012;12229;GCF
2146;8398;8287;GCA
2147;10956;10946;GCA
2148;9188;8871;GCA
2149;9727;9962;GCF
2150;10294;10428;GCF
2151;8599;8481;GCA
2152;12131;11585;GCA
2153;12117;11888;GCA
2154;8986;9168;GCF
2155;3079;3080;GCF
2156;4430;4569;GCF
2157;5065;5375;GCF
2158;3179;3152;GCA
2159;3127;3247;GCF
2160;3576;3536;GCA
2161;3630;3585;GCA
2162;3491;3573;GCF
2163;5283;5416;GCF
2164;4503;4449;GCA
2165;3801;3693;GCA
2166;3437;3404;GCA
2167;4140;4023;GCA
2168;4424;4420;GCA
2169;2257;2308;GCF
2170;3560;3675;GCF
2171;3014;2963;GCA
2172;2626;2589;GCA
2173;3342;3390;GCF
2174;3404;3405;GCF
2175;3725;3753;GCF
2176;3728;3750;GCF
2177;3688;3710;GCF
2178;5302;5182;GCA
2179;4519;4378;GCA
2180;3815;3828;GCF
2181;4515;4527;GCF
2182;2644;2607;GCA
2183;5107;4776;GCA
2184;5436;5475;GCF
2185;4597;4594;GCA
2186;3580;3436;GCA
2187;1612;1618;GCF
2188;3938;3699;GCA
2189;4503;4487;GCA
2190;2920;2906;GCA
2191;3015;2959;GCA
2192;2174;2111;GCA
2193;5599;5420;GCA
2194;2032;2081;GCF
2195;1739;1743;GCF
2196;2024;1987;GCA
2197;2086;2101;GCF
2198;3398;3380;GCA
2199;4042;4031;GCA
2200;3379;3350;GCA
2201;3120;3113;GCA
2202;1827;1820;GCA
2203;2972;2965;GCA
2204;3769;3627;GCA
2205;4366;4231;GCA
2206;3639;3453;GCA
2207;4164;3955;GCA
2208;4409;4271;GCA
2209;7102;6790;GCA
2210;7012;6763;GCA
2211;5416;5431;GCF
2212;7520;7491;GCA
2213;4993;4993;same
2214;6411;6204;GCA
2215;5598;5544;GCA
2216;4593;4643;GCF
2217;6744;6575;GCA
2218;5744;4097;GCA
2219;8160;8053;GCA
2220;5307;5161;GCA
2221;4133;4256;GCF
2222;5549;5555;GCF
2223;6348;6033;GCA
2224;5640;5640;same
2225;8711;8245;GCA
2226;6152;6213;GCF
